Date,Daily Average AQI,Daily Average NOx (ug/m3),Daily Average O3 (ug/m3),Daily Average SO2 (ug/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2020-01-01,36.125,21.58958333333333,29.608695652173914,-0.004347826086956522,7.566666666666666,13.591666666666667,317,1.8,224,8.2,270,0.0,18.8,16.6,79.0,23.2,13.2,9.3,-,19.7,19.6,-,19.1,1018.6,1016.7,6.9,19.03,8631.990267639903,358.25
2020-01-02,20.895833333333336,15.750000000000002,37.869565217391305,0.016666666666666666,5.120833333333333,9.416666666666666,226,3.5,196,11.8,324,0.0,17.8,15.6,78.0,22.8,16.0,13.3,-,19.2,19.6,-,19.1,1014.6,1012.7,9.4,21.61,10138.637469586374,651.3303571428571
2020-01-03,27.927083333333336,27.144791666666666,41.82608695652174,0.004347826086956522,10.140277777777778,17.835416666666664,266,4.5,216,12.4,432,0.0,20.5,18.3,80.0,23.2,16.9,12.6,-,20.3,19.8,-,19.1,1008.0,1006.1,9.3,20.18,9291.51094890511,447.8794642857143
2020-01-04,43.34374999999999,19.43152173913043,38.608695652173914,0.0,9.58611111111111,23.555208333333333,222,6.5,215,15.4,462,0.0,17.8,13.2,56.0,20.8,16.0,13.8,-,18.4,19.2,-,19.2,1008.7,1006.8,7.2,18.62,8757.687347931873,352.015625
2020-01-05,45.385416666666664,32.41343873517787,40.13636363636363,-0.018181818181818184,8.267210144927537,19.48883399209486,246,3.8,298,11.8,394,3.2,18.0,13.7,59.0,20.0,14.6,11.2,-,18.4,18.5,-,19.2,1012.5,1010.6,4.3,10.36,11109.72794117647,888.28125
2020-01-06,44.34375,26.38804347826087,41.47826086956522,0.10416666666666667,12.716666666666667,27.414583333333333,227,6.3,255,17.5,574,0.0,16.9,14.4,75.0,20.8,14.8,14.3,-,18.2,18.7,-,19.2,1007.4,1005.5,10.8,25.01,12135.956325301206,985.4040178571429
2020-01-07,52.66666666666667,27.240625,36.391304347826086,0.05652173913043478,8.863888888888889,21.944791666666667,221,5.9,222,14.4,329,0.2,18.1,12.4,47.0,19.9,14.6,11.8,-,18.1,18.1,-,19.2,1010.3,1008.4,6.1,16.02,12136.30193236715,1007.0262008733624
2020-01-08,35.96875,40.05434782608695,29.434782608695652,0.022727272727272728,6.315277777777777,15.098958333333334,224,1.7,217,10.3,238,0.0,15.8,13.7,78.0,20.7,12.5,7.0,-,17.3,17.7,-,19.0,1015.7,1013.8,6.4,17.28,12357.443645083933,1007.1572052401747
2020-01-09,30.427083333333332,36.416666666666664,28.695652173913043,0.043478260869565216,6.198611111111112,14.821875000000002,211,2.5,257,11.3,302,0.0,17.2,14.0,68.0,21.4,11.9,6.2,-,17.5,18.0,-,19.0,1018.2,1016.3,7.7,18.48,12814.40264423077,1017.1732456140351
2020-01-10,32.33333333333333,33.52065217391304,33.30434782608695,0.020833333333333332,7.656944444444444,16.841666666666665,214,4.8,211,11.8,322,0.0,17.5,13.9,65.0,21.5,13.2,9.7,-,17.6,17.9,-,19.0,1021.5,1019.6,10.2,22.95,11190.147836538461,552.2965367965368
2020-01-11,28.947916666666668,27.956249999999997,29.130434782608695,0.21739130434782608,6.0055555555555555,13.615625000000001,183,2.3,180,7.2,170,0.0,17.4,15.0,76.0,24.1,10.7,7.1,-,18.1,18.0,-,18.9,1021.1,1019.2,13.4,26.66,10207.514457831325,402.2142857142857
2020-01-12,25.927083333333336,40.68804347826087,33.91304347826087,0.5499999999999999,6.86388888888889,11.2625,317,0.8,164,8.2,134,0.0,17.1,15.4,83.0,26.6,10.0,5.5,-,18.7,18.4,-,18.9,1018.5,1016.6,13.7,28.49,12419.695180722892,1022.2272727272727
2020-01-13,30.166666666666668,45.658061594202906,29.217391304347824,0.08260869565217391,7.126388888888889,13.927083333333334,262,1.0,250,11.8,215,0.0,17.9,16.0,81.0,25.5,10.6,6.1,-,19.0,18.8,-,18.9,1017.9,1016.0,9.1,19.9,13377.67933130699,1064.9887892376682
2020-01-14,25.770833333333332,27.03695652173913,29.304347826086957,0.10833333333333334,5.179166666666667,11.611542443064184,187,1.9,66,7.7,184,0.8,18.0,15.5,76.0,22.0,14.8,14.3,-,19.3,19.4,-,18.9,1017.9,1016.0,3.0,13.32,13378.535452322738,1072.2780269058296
2020-01-15,17.083333333333332,35.81534090909091,34.56521739130435,0.7285714285714285,5.359974747474747,9.855776515151515,177,1.8,39,6.2,176,0.0,16.6,15.0,83.0,24.2,14.7,13.3,-,18.5,19.2,-,18.9,1018.9,1017.0,7.1,19.37,13499.664677804296,1090.595238095238
2020-01-16,20.461503623188406,27.494565217391305,40.17391304347826,0.44166666666666665,4.0875,9.626041666666667,145,0.6,38,6.7,181,0.0,19.0,15.6,68.0,23.1,13.7,9.0,-,19.7,19.6,-,19.0,1018.5,1016.6,7.7,14.52,13764.339901477833,1114.5324675324675
2020-01-17,16.291666666666668,30.429166666666667,33.30434782608695,1.2260869565217392,2.676388888888889,7.444791666666667,159,1.9,200,8.8,170,0.0,19.3,13.8,51.0,24.6,14.8,10.5,-,19.8,19.4,-,19.1,1018.9,1017.0,11.8,24.26,11807.107142857143,612.9242424242424
2020-01-18,22.125,34.55652173913044,38.09090909090909,1.1291666666666667,4.793055555555555,11.480208333333334,322,0.9,172,8.8,206,0.0,18.4,15.8,75.0,24.9,11.6,7.2,-,19.5,19.3,-,19.1,1016.1,1014.2,12.4,25.55,11229.299698795181,430.9458874458874
2020-01-19,23.510416666666664,25.568749999999998,33.91304347826087,2.134782608695652,4.286111111111111,10.429166666666665,178,1.8,171,9.8,216,0.0,20.4,16.7,67.0,27.3,13.0,8.8,-,19.9,19.5,-,19.2,1013.4,1011.5,12.8,25.11,12888.968434343435,1076.6977272727272
2020-01-20,24.96875,55.83586956521739,35.22727272727273,0.5444444444444445,5.9444444444444455,14.633333333333333,255,0.7,272,8.2,188,0.0,21.2,18.6,77.0,29.2,13.7,9.5,-,20.6,19.8,-,19.2,1013.7,1011.8,13.0,25.3,13313.959595959595,1097.9227272727273
2020-01-21,27.927083333333336,42.418749999999996,40.21739130434783,,5.084722222222222,11.102083333333333,256,2.0,170,7.2,189,0.0,19.7,17.2,77.0,24.8,16.4,11.7,-,20.8,20.7,-,19.2,1015.5,1013.6,8.0,21.0,13520.065162907269,1105.421524663677
2020-01-22,19.375,47.22826086956522,33.73913043478261,-0.16666666666666666,3.4611111111111117,7.596875000000001,230,1.3,211,9.3,193,0.0,20.0,16.1,65.0,23.6,14.8,9.4,-,21.0,20.6,-,19.4,1016.9,1015.0,5.1,16.64,13854.585820895523,1119.3968609865472
2020-01-23,17.895833333333332,42.753125,22.217391304347824,0.0,3.568055555555556,7.332291666666666,229,2.5,178,8.8,217,0.0,20.1,17.1,73.0,25.9,12.8,7.7,-,20.0,19.9,-,19.4,1018.2,1016.3,11.3,22.04,13888.67718446602,1098.5281385281385
2020-01-24,21.052083333333336,40.892391304347825,31.217391304347824,0.012499999999999999,5.155555555555556,10.744791666666666,230,0.2,165,7.7,190,0.0,20.9,20.3,94.0,28.1,19.5,17.9,-,21.3,20.9,-,19.4,1017.6,1015.7,7.9,18.89,11223.195599022005,529.1645021645022
2020-01-25,23.208333333333332,27.2,38.43478260869565,0.12173913043478261,5.115277777777778,10.229166666666666,242,2.1,221,9.8,323,0.0,19.6,16.9,75.0,25.6,15.7,10.9,-,20.3,20.7,-,19.5,1017.8,1015.9,10.8,25.85,10010.711491442542,368.53246753246754
2020-01-26,21.041666666666668,19.882608695652173,25.217391304347824,0.21250000000000002,4.840277777777778,10.285416666666666,197,3.6,204,10.8,329,0.0,21.6,18.6,74.0,25.9,19.5,17.9,-,21.6,21.2,-,19.6,1019.5,1017.6,11.5,25.75,9520.90586797066,423.5952380952381
2020-01-27,20.739583333333336,19.352083333333333,26.304347826086957,0.5,5.097222222222222,10.083333333333334,169,2.2,214,9.3,217,0.0,20.7,17.8,74.0,26.9,18.7,17.1,-,21.7,21.4,-,19.7,1019.8,1017.9,11.2,25.11,13162.941747572815,1106.4978354978355
2020-01-28,24.25,56.180434782608685,19.565217391304348,0.075,5.175,12.254166666666665,324,1.8,277,8.2,163,0.8,21.2,19.6,85.0,25.7,15.6,11.6,-,21.6,21.4,-,19.8,1017.6,1015.7,5.0,12.56,13839.156626506025,1118.3304347826088
2020-01-29,26.281250000000004,54.2203947368421,19.0,0.36086956521739133,5.493055555555556,12.6125,260,0.7,260,8.2,199,0.0,21.9,20.5,87.0,27.2,18.8,15.3,-,21.9,21.4,-,19.8,1014.7,1012.8,6.8,17.31,13457.018656716418,1123.754347826087
2020-01-30,28.906250000000004,57.39891304347827,29.043478260869566,0.3333333333333333,5.729166666666667,13.713541666666668,296,1.6,266,9.3,259,0.0,22.6,19.9,77.0,27.7,17.7,14.2,-,22.0,21.5,-,20.0,1014.2,1012.3,9.6,21.97,13915.440740740742,1130.2239130434782
2020-01-31,25.25,37.284375,32.21739130434783,0.22173913043478263,5.452777777777777,10.602083333333333,222,3.0,185,10.3,304,0.0,21.7,18.9,75.0,26.9,17.7,13.0,-,21.7,21.8,-,20.0,1018.8,1016.9,12.9,25.6,11668.215710723192,624.5245535714286
2020-02-01,27.019886363636363,27.50217391304348,40.391304347826086,0.020833333333333332,12.497222222222222,18.903125000000003,222,3.7,186,10.8,294,0.0,21.3,18.6,76.0,26.9,16.4,12.3,-,21.1,21.5,-,20.1,1020.0,1018.1,11.9,25.07,9937.167082294265,401.82142857142856
2020-02-02,36.427083333333336,18.39397860593513,32.63636363636363,-0.02,5.537200956937799,10.340288220551379,230,2.3,215,11.3,269,0.0,21.5,18.4,73.0,27.3,17.5,13.2,-,21.7,21.7,-,20.2,1018.2,1016.3,10.1,23.44,12628.154135338345,1078.2879464285713
2020-02-03,21.239583333333336,40.98804347826086,21.956521739130434,0.32083333333333336,4.290277777777778,9.532291666666666,231,2.3,231,7.7,174,0.0,23.4,19.6,69.0,29.4,17.8,13.4,-,22.2,21.9,-,20.3,1015.6,1013.7,11.5,23.77,13098.4,1128.125
2020-02-04,21.666666666666664,47.30833333333334,24.608695652173914,0.23478260869565218,5.288888888888889,13.239583333333334,358,1.8,300,10.8,336,0.0,22.3,20.5,84.0,29.0,16.9,13.3,-,22.8,22.2,-,20.3,1011.5,1009.6,10.8,24.29,13922.900497512437,1154.141592920354
2020-02-05,38.46875,21.640978260869566,43.73913043478261,0.10909090909090909,8.615277777777777,22.360416666666662,216,5.1,213,12.4,298,0.0,19.6,14.9,58.0,23.4,18.4,16.6,-,21.3,22.4,-,20.5,1014.8,1012.9,8.9,19.36,10122.0,428.43555555555554
2020-02-06,37.520833333333336,4.020833333333333,31.347826086956523,,5.391666666666666,13.873052536231883,222,2.3,215,11.8,402,0.0,18.2,13.5,56.0,22.9,12.4,8.1,-,19.8,20.9,-,20.6,1021.2,1019.3,5.1,16.88,12594.990384615385,980.3723849372385
2020-02-07,30.0625,9.895652173913044,37.78260869565217,,6.82602657004831,18.539764492753623,199,4.5,216,9.8,221,0.0,19.4,15.5,64.0,27.6,17.4,15.0,-,20.0,20.5,-,20.6,1023.2,1021.3,12.9,26.48,10459.41743119266,527.2073170731708
