Date,Daily Average NO2 (ug/m3),Daily Average O3 (ug/m3),Daily Average CO (mg/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2020-01-01,3.6586250000000002,14.330666666666666,0.092625,6.977291666666667,13.236916666666666,17,1.4,349,12.9,316,0.0,18.8,15.6,70.0,22.5,8.5,6.6,-,17.7,18.3,-,17.2,1016.2,1010.3,10.9,26.36,5781.687214611872,150.94086021505376
2020-01-02,2.6556521739130434,16.34,0.07278260869565217,4.804791666666667,12.657874999999999,41,3.0,353,13.9,363,0.0,19.0,15.9,71.0,23.5,10.8,7.7,-,17.4,18.4,-,17.3,1012.0,1006.1,7.7,20.33,6950.922374429224,253.94623655913978
2020-01-03,8.100958333333333,21.569625000000002,0.1679166666666667,15.910583333333333,25.593458333333334,6,2.3,1,10.3,290,0.0,17.6,15.5,79.0,24.1,16.6,15.7,-,19.0,19.4,-,17.4,1002.8,996.9,8.5,23.23,6615.646118721461,202.11290322580646
2020-01-04,3.720916666666667,16.5475,0.059666666666666666,5.838958333333333,13.041375,234,1.8,274,9.8,252,0.0,14.4,12.0,74.0,20.3,11.1,9.3,-,17.8,19.0,-,17.4,1005.0,999.1,12.3,28.73,5786.146118721461,156.98924731182797
2020-01-05,4.783,14.739041666666667,0.06143478260869566,3.0387083333333336,17.067041666666668,27,1.1,291,21.1,377,0.4,14.6,12.1,73.0,18.0,7.2,4.5,-,17.1,18.5,-,17.5,1007.2,1001.2,0.1,5.59,7279.936018957346,305.1588235294118
2020-01-06,5.002458333333333,15.741916666666667,0.0815,8.601750000000001,18.945541666666667,289,4.2,317,17.5,407,0.0,17.4,11.8,47.0,20.7,10.7,8.0,-,16.1,17.2,-,17.5,999.8,993.9,13.2,29.67,7573.3290816326535,374.87857142857143
2020-01-07,6.167958333333334,13.392375000000001,0.08391666666666665,6.9667916666666665,18.8995,65,0.9,190,13.9,284,0.0,14.3,10.7,61.0,19.6,4.2,1.6,-,15.3,17.1,-,17.5,1007.3,1001.3,9.8,25.06,7791.528571428571,372.5595238095238
2020-01-08,7.061565217391304,12.502291666666666,0.09391304347826088,5.904458333333333,15.904625000000001,95,1.4,107,6.7,141,0.0,15.0,10.5,53.0,19.3,8.9,6.9,-,16.6,17.8,-,17.5,1016.6,1010.6,4.3,16.30,8188.688073394495,392.30434782608694
2020-01-09,7.441375,12.306208333333332,0.095625,4.825,13.096125,109,1.4,340,8.8,238,0.0,16.7,13.1,64.0,22.3,6.6,4.6,-,15.7,17.0,-,17.4,1015.4,1009.4,13.6,30.43,8426.76376146789,399.0271739130435
2020-01-10,7.0929166666666665,13.583333333333334,0.09666666666666666,7.260916666666667,16.208125,224,0.7,244,8.8,208,0.0,16.2,14.1,78.0,23.5,8.8,5.3,-,17.4,18.4,-,17.4,1018.8,1012.8,9.7,24.53,7385.7408256880735,232.6576086956522
2020-01-11,3.8803750000000004,14.4425,0.06882608695652173,6.725041666666667,19.021125,359,3.1,320,17.0,521,0.0,16.9,13.1,62.0,21.6,8.4,5.1,-,17.3,18.5,-,17.4,1018.7,1012.7,11.0,25.69,6483.178899082569,177.75
2020-01-12,2.6207083333333334,15.680541666666665,0.07308333333333333,5.598958333333333,14.77825,329,7.3,285,18.0,494,14.0,17.8,15.4,76.0,23.3,15.9,13.6,-,18.8,19.2,-,17.5,1015.2,1009.3,4.4,18.87,7571.649082568807,341.8641304347826
2020-01-13,5.251666666666667,14.23475,0.07166666666666667,7.914375,22.041375000000002,250,5.2,330,16.0,255,5.8,14.1,13.8,96.0,17.0,13.9,13.9,-,18.8,19.7,-,17.5,1015.7,1009.7,0.8,6.26,8172.954128440367,401.0652173913044
2020-01-14,5.564956521739131,14.77675,0.08604347826086957,6.612708333333334,17.47341666666667,156,3.1,136,11.8,234,0.0,14.9,11.2,61.0,19.7,8.2,5.8,-,14.6,16.2,-,17.6,1025.3,1019.2,10.4,25.30,8409.006880733945,402.625
2020-01-15,5.748083333333334,15.049916666666666,0.08470833333333333,4.7645,13.64025,125,1.4,106,9.8,261,0.0,14.7,10.9,60.0,20.1,3.7,1.4,-,14.2,16.0,-,17.5,1023.6,1017.5,10.6,26.76,8262.042944785277,436.82608695652175
2020-01-16,6.1067,13.417958333333333,0.08772727272727272,3.874941176470588,8.578,152,1.7,71,9.8,227,0.0,14.3,11.1,65.0,18.7,10.3,8.0,-,16.4,17.4,-,17.5,1023.7,1017.6,2.2,15.14,8817.267441860466,444.14130434782606
2020-01-17,8.211541666666667,11.125708333333334,0.09791304347826088,3.8724782608695656,7.254625,323,0.9,136,10.3,262,0.0,14.7,12.6,77.0,21.1,6.7,3.7,-,15.0,16.7,-,17.5,1022.2,1016.2,7.1,19.96,7829.009090909091,260.8152173913044
2020-01-18,5.5767500000000005,15.057249999999998,0.07054166666666667,3.5497083333333332,9.051041666666666,98,2.5,132,11.8,258,0.0,16.6,12.5,59.0,21.7,7.6,5.3,-,14.9,16.4,-,17.4,1019.7,1013.7,10.1,22.21,7208.965909090909,195.57065217391303
