Date,Daily Average AQI,Daily Average NOx (ug/m3),Daily Average O3 (ug/m3),Daily Average SO2 (ug/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2018-03-25,15.75,71.1,14.0,,3.9,10.133333333333333,264,0.7,242,6.7,139,0.0,16.4,16.1,97.0,24.7,16.0,-,-,-,-,-,-,1021.6,1019.7,10.1,20.20,12742.051470588236,970.1428571428571
2018-03-26,18.168981481481477,29.15,19.0,1.8,3.033333333333333,7.6000000000000005,160,0.8,37,8.2,209,0.0,17.2,17.0,98.0,25.2,12.8,-,-,-,-,-,-,1023.6,1021.7,8.9,17.95,12997.233082706767,1025.9056603773586
2018-03-27,21.002113526570046,41.425,15.0,1.3,5.166666666666667,11.683333333333332,136,0.5,25,7.7,130,0.0,18.0,17.8,98.0,25.2,14.6,-,-,-,-,-,-,1025.0,1023.1,9.7,17.80,13357.400259067357,1085.0668316831684
2018-03-28,21.222222222222225,31.5,15.0,-0.1,3.6500000000000004,9.371428571428572,0,0.0,41,6.7,106,0.0,17.1,-,-,24.6,13.8,-,-,-,-,-,-,1023.0,1021.1,3.2,10.59,14115.415789473684,1107.8217821782177
2018-03-29,23.215277777777782,45.3,11.0,1.6,4.2,10.428571428571429,0,0.0,221,7.2,112,0.6,18.9,-,-,26.6,16.7,-,-,19.1,19.4,-,19.0,1020.1,1018.2,9.4,19.35,9111.963157894737,342.0940594059406
2018-03-30,24.583333333333332,49.21999999999999,8.0,0.8,5.449999999999999,12.757142857142858,316,0.1,160,8.2,81,0.6,18.7,-,-,24.6,16.7,-,-,19.2,19.8,-,19.1,1017.5,1015.6,5.3,12.79,9996.26329787234,397.2323232323232
2018-03-31,17.305555555555557,26.65,14.0,-0.1,3.6500000000000004,9.299999999999999,0,0.0,274,7.7,194,0.4,16.4,-,-,24.7,12.9,-,-,18.3,19.2,-,19.1,1016.3,1014.4,5.7,14.97,9336.130434782608,265.71276595744683
2018-04-01,23.39772727272727,53.150000000000006,21.0,0.2,4.85,10.066666666666668,213,2.3,209,9.3,160,0.0,19.3,-,-,22.6,13.3,-,-,18.8,19.4,-,19.2,1019.7,1017.8,9.3,16.78,9026.086486486487,347.8263157894737
2018-04-02,25.564311594202895,30.775,30.0,0.5,6.75,16.333333333333336,212,1.1,157,7.7,152,0.0,18.6,-,-,22.7,11.6,-,-,18.2,18.8,-,19.2,1022.0,1020.1,9.9,18.01,12487.028532608696,989.9447368421053
2018-04-03,25.770833333333332,25.98,30.0,0.7,5.35,11.128571428571428,296,0.8,186,6.7,114,0.0,18.4,-,-,25.2,10.6,-,-,18.0,18.5,-,19.2,1020.2,1018.3,6.8,14.55,12519.461340206186,992.2089552238806
2018-04-04,28.493055555555557,55.739999999999995,25.0,0.8,7.199999999999999,13.142857142857142,323,1.8,229,8.2,160,1.6,21.4,-,-,25.6,13.6,-,-,18.7,18.7,-,19.2,1016.7,1014.8,8.5,16.74,12556.397025171626,964.1729166666667
2018-04-05,29.694444444444443,59.220000000000006,10.0,0.5,5.333333333333333,13.266666666666666,220,2.8,191,11.3,194,0.0,19.6,-,-,23.4,12.5,-,-,18.2,18.9,-,19.2,1015.7,1013.8,8.8,15.48,12901.145308924486,963.94375
2018-04-06,36.423611111111114,38.42,22.0,0.9,5.466666666666666,17.571428571428573,0,0.0,182,6.7,88,0.0,17.0,-,-,24.7,10.6,-,-,17.3,18.2,-,19.2,1018.2,1016.3,-,10.94,11197.553775743707,520.9166666666666
2018-04-07,27.902777777777775,51.9,21.0,2.0,5.333333333333333,16.142857142857142,247,1.0,204,9.8,162,0.2,20.0,15.8,62.0,24.2,11.4,6.0,-,18.0,18.3,-,19.2,1016.7,1014.8,6.4,13.23,9779.08695652174,326.9375
2018-04-08,30.375,34.94,24.0,0.5,5.533333333333334,13.299999999999999,291,0.1,246,9.8,139,0.0,16.6,14.7,80.0,22.4,10.1,5.4,-,16.9,17.9,-,19.1,1017.9,1016.0,8.0,15.48,11955.102666666668,917.4145833333333
2018-04-09,29.090277777777775,30.279999999999994,29.0,0.4,5.133333333333334,14.871428571428572,320,1.0,247,11.3,243,6.6,17.8,15.7,79.0,22.5,8.8,4.1,-,16.4,17.4,-,19.1,1013.5,1011.6,6.2,11.11,11879.930487804879,901.3214285714286
2018-04-10,34.14204545454546,57.14,29.0,0.5,7.133333333333333,13.828571428571426,317,6.2,289,26.3,629,21.8,20.5,18.5,82.0,21.6,16.5,13.8,-,18.3,18.2,-,19.1,999.2,997.3,4.9,10.33,12058.78947368421,883.3632286995515
2018-04-11,31.347222222222225,33.48,32.0,-0.7,6.433333333333334,20.885714285714283,184,4.6,216,17.0,419,5.0,8.7,8.0,90.0,14.7,8.2,7.5,-,14.2,16.6,-,19.0,1004.4,1002.5,1.5,5.53,13263.754452926209,1089.3373205741627
2018-04-12,26.675,,35.0,0.2,5.1,10.219999999999999,136,1.9,186,14.4,442,3.8,14.3,10.8,62.0,18.4,7.9,6.4,-,13.9,15.3,-,18.9,1012.3,1010.4,5.2,11.00,13455.869949494949,1078.4186602870814
2018-04-13,47.949999999999996,,34.0,1.8,3.75,16.3,240,5.9,227,15.4,346,28.2,17.2,13.2,61.0,19.9,13.1,12.3,-,15.0,15.8,-,18.8,1012.0,1010.1,5.9,12.20,10824.850125944584,522.3708133971292
2018-04-14,47.69047619047618,,36.0,0.2,9.95,26.25,276,4.3,270,13.9,121,10.4,19.9,19.4,95.0,20.8,14.5,13.6,-,17.5,17.0,-,18.6,1010.8,1008.9,0.1,3.31,9718.69592875318,330.5243902439024
2018-04-15,42.958333333333336,,17.0,0.2,8.233333333333334,23.87142857142857,0,0.0,341,6.2,164,2.8,17.3,17.2,99.0,23.2,14.9,11.3,-,17.0,17.4,-,18.4,1015.2,1013.3,2.5,7.53,12969.759202453988,1011.3682926829268
2018-04-16,29.530797101449277,,17.0,0.3,7.3999999999999995,15.242857142857142,345,4.0,325,12.9,274,3.0,20.0,18.6,87.0,23.2,17.1,13.5,-,17.9,17.9,-,18.4,1009.4,1007.5,4.2,9.05,13063.242819843343,1056.8756218905473
2018-04-17,53.06249999999999,,19.0,0.4,7.466666666666666,20.942857142857143,325,1.5,306,9.8,266,2.8,18.9,18.0,91.0,24.4,15.0,9.6,-,17.4,17.7,-,18.4,1012.4,1010.5,6.2,11.70,13235.692913385827,1064.6683417085428
2018-04-18,42.99305555555555,,19.0,0.3,9.5,26.12857142857143,233,3.7,263,16.0,261,1.0,17.2,14.6,74.0,18.9,16.0,11.8,-,17.9,18.3,-,18.4,1012.2,1010.3,7.3,13.21,13520.968253968254,1085.3165829145728
2018-04-19,33.451388888888886,49.075,38.0,0.0,5.400000000000001,17.07142857142857,231,0.9,226,8.2,132,0.0,15.4,12.6,70.0,19.9,9.7,4.2,-,15.7,17.0,-,18.4,1020.9,1019.0,6.0,11.40,13862.277777777777,1078.7788944723618
2018-04-20,28.11111111111111,67.975,33.0,0.0,6.3,15.299999999999999,287,1.0,280,9.8,155,0.6,16.4,14.9,84.0,20.6,10.9,5.3,-,16.2,16.9,-,18.4,1020.1,1018.2,7.5,12.84,11574.625974025974,566.36
