Date,Daily Average CO (mg/m3),Daily Average NO (ug/m3),Daily Average NO2 (ug/m3),Daily Average SO2 (ug/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2020-01-01,0.24630435,29.0734787,21.3208694,2.4647827,9.8833333,25.9041667,35,1.4,191,9.8,166,0.0,18.2,16.2,80.0,31.2,14.1,-,-,-,-,-,-,1010.5,1009.8,-,13.61,4695.569343065694,241.7479674796748
2020-01-02,0.27163044999999997,25.8230438,16.7369556,2.5891304,14.9666667,24.0375,308,1.2,202,9.3,231,0.0,17.4,14.9,75.0,22.6,14.2,-,-,-,-,-,-,1010.1,1009.4,-,23.02,5257.5,387.5731707317073
2020-01-03,0.25158695,32.2856522,20.2695656,2.2743478,6.05,13.7458333,207,2.2,32,7.7,173,1.8,17.4,14.6,72.0,19.1,14.1,-,-,-,-,-,-,1003.7,1003.0,-,7.42,4770.377697841726,280.2479674796748
2020-01-04,0.1011522,12.4578257,11.590435,1.8930435,3.3083333,13.125,231,1.4,202,9.8,239,0.0,14.3,11.2,66.0,18.7,9.6,-,-,-,-,-,-,1006.7,1006.0,-,28.06,4637.741007194245,236.65040650406505
2020-01-05,0.15356525,15.9934778,13.5452175,2.0673914,6.4375,22.1291667,59,3.8,279,12.4,301,0.0,13.1,11.6,82.0,28.8,8.8,-,-,-,-,-,-,1001.7,1001.0,-,19.62,5728.804964539007,492.516
2020-01-06,0.17015215,48.6113052,23.0721741,2.1199999,4.2416667,20.075,19,1.8,259,12.9,289,1.0,16.6,11.7,52.0,23.9,11.4,-,-,-,-,-,-,996.0,995.3,-,21.55,5224.856707317073,484.9535714285714
2020-01-07,0.10984780000000001,25.9960861,15.8995647,2.077826,3.4875,17.5,207,6.0,235,14.4,315,0.0,14.1,10.5,61.0,18.5,11.5,-,-,-,-,-,-,1008.7,1008.0,-,27.66,5263.823529411765,495.7945205479452
2020-01-08,0.18077864999999999,63.5334778,30.5078259,2.1117392,3.7,13.7333333,233,1.7,40,8.2,193,0.0,13.2,9.6,60.0,18.4,10.9,-,-,-,-,-,-,1017.3,1016.6,-,18.21,5472.964705882353,512.2123287671233
2020-01-09,0.20121735,74.0886993,32.7652168,1.7682608,3.3625,15.9708333,60,2.1,41,8.8,204,0.0,17.5,13.9,65.0,25.5,11.1,-,-,-,-,-,-,1014.3,1013.6,-,24.32,5457.81043956044,481.3322784810127
2020-01-10,0.18736955000000002,64.862175,27.7121735,1.7104348,3.7041667,12.6083333,61,2.5,77,8.8,332,0.0,14.0,10.4,61.0,18.9,12.9,-,-,-,-,-,-,1018.9,1018.2,-,22.83,4533.8125,275.953125
