Date,PM2.5,PM10,Average CO (mg/m3),Average SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2020-01-01,12.09,22.611666666666665,0.20410777500000002,1.4612356333333334,29.0734787,21.3208694,35,1.4,191,9.8,166,0.0,18.2,16.2,80.0,31.2,14.1,-,-,-,-,-,-,1010.5,1009.8,-,13.61,4059.9452554744526,153.33739837398375
2020-01-02,14.175222222222223,20.461333333333332,0.217616025,1.5513942333333333,25.8230438,16.7369556,308,1.2,202,9.3,231,0.0,17.4,14.9,75.0,22.6,14.2,-,-,-,-,-,-,1010.1,1009.4,-,23.02,4695.569343065694,241.7479674796748
2020-01-03,5.974111111111111,12.66888888888889,0.16965047500000002,1.9111451333333331,32.2856522,20.2695656,207,2.2,32,7.7,173,1.8,17.4,14.6,72.0,19.1,14.1,-,-,-,-,-,-,1003.7,1003.0,-,7.42,5257.5,387.5731707317073
2020-01-04,3.935,11.877,0.07181385,1.4063427666666666,12.4578257,11.590435,231,1.4,202,9.8,239,0.0,14.3,11.2,66.0,18.7,9.6,-,-,-,-,-,-,1006.7,1006.0,-,28.06,4770.377697841726,280.2479674796748
2020-01-05,6.770888888888889,19.865333333333336,0.10791060000000001,1.7653262333333333,15.9934778,13.5452175,59,3.8,279,12.4,301,0.0,13.1,11.6,82.0,28.8,8.8,-,-,-,-,-,-,1001.7,1001.0,-,19.62,4637.741007194245,236.65040650406505
2020-01-06,3.6125555555555553,13.792666666666667,0.10404755,1.8273653666666665,48.6113052,23.0721741,19,1.8,259,12.9,289,1.0,16.6,11.7,52.0,23.9,11.4,-,-,-,-,-,-,996.0,995.3,-,21.55,5728.804964539007,492.516
2020-01-07,3.6966666666666663,13.601,0.07439675000000001,1.79639,25.9960861,15.8995647,207,6.0,235,14.4,315,0.0,14.1,10.5,61.0,18.5,11.5,-,-,-,-,-,-,1008.7,1008.0,-,27.66,5224.856707317073,484.9535714285714
2020-01-08,4.264888888888889,13.578444444444443,0.11366977499999999,1.6064353999999998,63.5334778,30.5078259,233,1.7,40,8.2,193,0.0,13.2,9.6,60.0,18.4,10.9,-,-,-,-,-,-,1017.3,1016.6,-,18.21,5263.823529411765,495.7945205479452
2020-01-09,4.907666666666667,16.854666666666667,0.131085,1.8039570000000003,74.0886993,32.7652168,60,2.1,41,8.8,204,0.0,17.5,13.9,65.0,25.5,11.1,-,-,-,-,-,-,1014.3,1013.6,-,24.32,5472.964705882353,512.2123287671233
2020-01-10,5.0811111111111105,15.519777777777778,0.128457275,1.5784259666666667,64.862175,27.7121735,61,2.5,77,8.8,332,0.0,14.0,10.4,61.0,18.9,12.9,-,-,-,-,-,-,1018.9,1018.2,-,22.83,5457.81043956044,481.3322784810127
