DateTime,StationName,CO (mg/m3),NO (ug/m3),Temperature 2m (DegC),Relative humidity (%),NO2 (ug/m3)
2018-01-01,Riccarton Road,0.1803043,30.6372719,17.7541676,69.2166672,18.6004543
2018-01-02,Riccarton Road,0.2379565,33.2649994,19.5583324,76.6308365,20.5118179
2018-01-03,Riccarton Road,0.3065217,49.0986366,20.3374996,81.1662521,25.8868179
2018-01-04,Riccarton Road,0.3012174,42.3113632,20.8250008,77.1795807,21.9936371
2018-01-05,Riccarton Road,0.2055652,33.5786362,16.4291668,96.0437469,16.2190914
2018-01-06,Riccarton Road,0.0843043,11.8340912,15.3458338,58.6370850,8.7186365
2018-01-07,Riccarton Road,0.2160435,24.2336369,17.5541668,57.4625015,18.6709099
2018-01-08,Riccarton Road,0.2437826,43.8013649,19.4583340,62.6954155,22.9899998
2018-01-09,Riccarton Road,0.3137391,47.9749985,20.7666664,74.6825027,26.4263630
2018-01-10,Riccarton Road,0.2220000,29.4581814,15.9750004,91.5329132,19.8222733
2018-01-11,Riccarton Road,0.4574783,78.4795456,13.0166664,99.2266693,30.6995449
2018-01-12,Riccarton Road,0.4757619,87.7719040,14.0249996,89.7354202,30.9761906
2018-01-13,Riccarton Road,0.4366957,53.4922714,16.8083324,90.8274994,23.0554543
2018-01-14,Riccarton Road,0.3495652,37.2963638,22.5249996,70.0108337,19.2790909
2018-01-15,Riccarton Road,0.3183913,53.1145439,20.7583332,79.2466660,23.6413631
2018-01-16,Riccarton Road,0.3429565,52.3909073,21.6083336,74.5770798,27.0490913
2018-01-17,Riccarton Road,0.4097826,71.3804550,21.6124992,71.4120865,32.8113632
2018-01-18,Riccarton Road,0.3221304,41.8745461,23.1958332,67.8150024,22.8127270
2018-01-19,Riccarton Road,0.3997391,59.9159088,20.4125004,73.6808319,28.2577267
2018-01-20,Riccarton Road,0.3286087,38.8122711,23.3875008,65.8375015,23.2913628
2018-01-21,Riccarton Road,0.3262174,34.3181801,20.5708332,76.2925034,20.5472736
2018-01-22,Riccarton Road,0.3581739,56.0349998,21.8333340,74.8708344,28.6527271
2018-01-23,Riccarton Road,0.4085217,66.3809128,21.5291672,75.5762482,32.1254539
2018-01-24,Riccarton Road,0.4029130,63.4831810,25.5874996,58.2212486,39.1222725
2018-01-25,Riccarton Road,0.4316956,62.1286354,23.1458340,71.4766693,32.4513626
2018-01-26,Riccarton Road,0.4564783,70.5800018,20.5666676,71.2879181,28.4231815
2018-01-27,Riccarton Road,0.4481304,52.4704552,20.9500008,75.3679199,22.8504543
2018-01-28,Riccarton Road,0.3314348,33.4768181,22.4291668,73.4004135,20.3031826
2018-01-29,Riccarton Road,0.3467391,56.7272720,21.0708332,78.0137482,22.9154549
2018-01-30,Riccarton Road,0.4770435,71.0031815,24.0291672,70.3837509,35.3345451
2018-01-31,Riccarton Road,0.4796956,76.2472763,25.4958324,52.5675011,36.0736351
2018-02-01,Riccarton Road,0.2934783,42.6409073,23.9624996,58.7045822,24.0840912
2018-02-02,Riccarton Road,0.1348261,21.3209095,14.0666666,80.5224991,16.6459084
2018-02-03,Riccarton Road,0.1695652,22.0268173,14.3374996,66.0416641,18.3940907
2018-02-04,Riccarton Road,0.2637826,38.6763649,17.6541672,59.9595833,23.8963642
2018-02-05,Riccarton Road,0.3070000,61.5209084,20.4833336,49.9291649,26.7277279
2018-02-06,Riccarton Road,0.2022174,31.0677280,14.8833332,63.2820816,18.3804550
2018-02-07,Riccarton Road,0.3890870,77.1059113,16.9458332,61.8570824,36.3872719
2018-02-08,Riccarton Road,0.3542609,69.2568207,17.6499996,64.5575027,30.0854549
2018-02-09,Riccarton Road,0.3532609,58.9022713,18.8041668,72.7804184,29.0495453
2018-02-10,Riccarton Road,0.3769565,51.5013618,19.0666676,79.8495865,28.6204548
2018-02-11,Riccarton Road,0.3503913,41.7477264,18.4583340,96.4345856,18.5849991
