DateTime,StationName,CO (mg/m3),NO (ug/m3),Temperature 2m (DegC),NO2 (ug/m3)
1/01/2020 1:00:00 AM,Riccarton Road,0.1770000,6.0250001,15.1166668,3.9033334
1/01/2020 2:00:00 AM,Riccarton Road,"",3.1866667,14.9333334,2.4800000
1/01/2020 3:00:00 AM,Riccarton Road,0.1501667,"",14.7833338,""
1/01/2020 4:00:00 AM,Riccarton Road,0.1560000,6.2466664,14.7500000,7.3966665
1/01/2020 5:00:00 AM,Riccarton Road,0.1896667,6.0516667,14.5666666,7.2116666
1/01/2020 6:00:00 AM,Riccarton Road,0.2278333,16.9300003,14.3500004,11.6300001
1/01/2020 7:00:00 AM,Riccarton Road,0.2393333,23.2700005,16.6666660,13.1566668
1/01/2020 8:00:00 AM,Riccarton Road,0.2975000,38.4399986,18.7166672,14.8666668
1/01/2020 9:00:00 AM,Riccarton Road,0.3841667,42.9116669,19.4333324,19.6900005
1/01/2020 10:00:00 AM,Riccarton Road,0.4360000,41.6949997,23.3999996,24.0149994
1/01/2020 11:00:00 AM,Riccarton Road,0.5170000,60.0766678,24.9333324,33.2633324
1/01/2020 12:00:00 PM,Riccarton Road,0.5123333,36.9399986,28.1000004,36.8883324
1/01/2020 1:00:00 PM,Riccarton Road,0.5566667,55.1433334,30.2333336,52.5033340
1/01/2020 2:00:00 PM,Riccarton Road,0.5231667,43.3583336,31.0000000,44.3033333
1/01/2020 3:00:00 PM,Riccarton Road,0.5893334,66.6900024,28.1833324,42.0800018
1/01/2020 4:00:00 PM,Riccarton Road,0.6285000,69.1933365,26.7833328,41.1916656
1/01/2020 5:00:00 PM,Riccarton Road,0.5250000,66.5833359,24.6833324,37.8499985
1/01/2020 6:00:00 PM,Riccarton Road,0.5791667,51.3066673,23.6000004,36.6016655
1/01/2020 7:00:00 PM,Riccarton Road,0.3015000,7.1950002,22.4833336,14.2900000
1/01/2020 8:00:00 PM,Riccarton Road,0.3566667,5.4466667,20.4666672,12.1366663
1/01/2020 9:00:00 PM,Riccarton Road,0.2726667,4.8950000,18.1333332,8.0916662
1/01/2020 10:00:00 PM,Riccarton Road,0.3020000,4.3649998,17.1833324,8.6633329
1/01/2020 11:00:00 PM,Riccarton Road,0.3485000,4.4783335,16.4166660,9.0633335
2/01/2020 12:00:00 AM,Riccarton Road,0.3295000,8.2616663,16.0333328,9.1216669
2/01/2020 1:00:00 AM,Riccarton Road,0.3050000,2.4200001,15.9333334,8.0116663
2/01/2020 2:00:00 AM,Riccarton Road,"",1.9733334,15.4833336,5.5349998
2/01/2020 3:00:00 AM,Riccarton Road,0.3470000,"",15.2500000,""
2/01/2020 4:00:00 AM,Riccarton Road,0.3128333,3.7233334,14.6833334,5.2766666
2/01/2020 5:00:00 AM,Riccarton Road,0.3138333,7.5233335,14.6166668,7.7216668
2/01/2020 6:00:00 AM,Riccarton Road,0.3010000,6.0050001,15.0000000,10.0283337
2/01/2020 7:00:00 AM,Riccarton Road,0.2726667,7.9416666,15.8166666,11.6266670
2/01/2020 8:00:00 AM,Riccarton Road,0.3005000,18.0249996,18.8500004,17.2183342
2/01/2020 9:00:00 AM,Riccarton Road,0.4461667,33.3400002,20.6000004,25.3799992
2/01/2020 10:00:00 AM,Riccarton Road,0.6870000,53.8816681,19.2000008,27.6466675
