DateTime,StationName,SO2 (ug/m3),CO (mg/m3),Temperature 6m (DegC),PM10 (ug/m3),PM2.5 (ug/m3),Wind speed (m/s),Temperature 2m (DegC),Relative humidity (%),Wind maximum (m/s)
2018-01-01,Woolston,2.2026086,0.0485652,15.6458333,12.1083333,3.4166667,3.0420690,16.1333333,77.0487518,6.0122218
2018-01-02,Woolston,4.6052175,0.0417391,17.5291667,14.1250000,5.4666667,2.6864569,17.9666667,83.0062485,5.3150001
2018-01-03,Woolston,1.9739131,0.0465652,18.3750000,14.3000000,5.7250000,3.0881400,18.7375000,85.6066666,5.7372222
2018-01-04,Woolston,2.3704348,0.0452174,18.4125000,17.3833333,7.0250000,1.8164181,18.8000000,86.0791702,3.6629169
2018-01-05,Woolston,2.5730436,0.0554783,16.1041667,6.7041667,1.8750000,4.4204812,16.1000000,90.1841660,8.7976389
2018-01-06,Woolston,1.5560869,0.0541304,14.1875000,18.1000000,4.6916667,6.5715861,14.3083333,60.8316650,13.2754202
2018-01-07,Woolston,1.7043478,0.0659565,14.7625000,16.9375000,4.2958333,2.1325860,14.9833333,63.4154167,4.6462498
2018-01-08,Woolston,2.5143478,0.0663043,17.1625000,17.9666667,6.3500000,3.3125801,17.4875000,68.2612534,6.3413892
2018-01-09,Woolston,1.6500000,0.0786522,18.9750000,26.4791667,9.9958333,1.9159580,19.2375000,80.2008362,3.7976389
2018-01-10,Woolston,0.9739130,0.0588261,15.3416667,11.4083333,4.2250000,1.9643120,15.3083333,86.6250000,4.2434721
2018-01-11,Woolston,0.8604546,0.0600455,12.6173913,6.7125000,1.6333333,1.4506410,12.6652174,89.3504333,2.8386011
2018-01-12,Woolston,2.3619049,0.0501818,13.2625000,9.5208333,2.5291667,2.7572730,13.3791667,85.0749969,5.2087498
2018-01-13,Woolston,1.0817392,0.0344348,15.7750000,15.9791667,4.8291667,3.4114339,16.0583333,89.6875000,6.8406940
2018-01-14,Woolston,1.2852174,0.0563043,19.7083333,13.3916667,4.0000000,2.5653379,20.1500000,76.5937500,5.2063890
2018-01-15,Woolston,1.9939131,0.0500870,18.9166667,24.7500000,10.0125000,4.5184231,19.3458333,83.8391647,8.3330545
2018-01-16,Woolston,2.7939131,0.0509130,19.6250000,29.7000000,11.0916667,3.7893360,20.0583333,79.3354187,6.9351392
