DateTime,StationName,SO2 (ug/m3),CO (mg/m3),Temperature 6m (DegC),PM10 (ug/m3),PM2.5 (ug/m3),Wind speed (m/s),Temperature 2m (DegC),Relative humidity (%),Wind direction (Deg),Wind maximum (m/s)
1/01/2020 1:00:00 AM,Woolston,2.3199999,0.0241667,15.4078474,15.0000000,6.0000000,4.3065000,15.3179998,83.5049973,71.8824768,8.6400003
1/01/2020 2:00:00 AM,Woolston,2.5183334,0.0243333,15.0277500,14.6000000,2.6000000,4.6618609,14.9420691,87.6183319,76.8685379,9.8400002
1/01/2020 3:00:00 AM,Woolston,"",0.0278333,15.2975140,14.6000000,4.0000000,3.0017779,15.1213474,87.2933350,65.1083908,5.8400002
1/01/2020 4:00:00 AM,Woolston,2.1333334,0.0338333,15.4028330,16.5000000,6.4000000,1.9599440,15.2356386,85.1483307,51.9772110,4.8400002
1/01/2020 5:00:00 AM,Woolston,2.4749999,0.0385000,14.7669725,18.9000000,2.3000000,1.1563170,14.5284309,88.1816635,52.5561485,3.9400001
1/01/2020 6:00:00 AM,Woolston,2.7483332,0.0526667,14.3946667,20.0000000,0.3000000,0.1291333,14.2193470,89.2333298,"",1.5400000
1/01/2020 7:00:00 AM,Woolston,2.4216666,0.0693333,15.1692219,15.6000000,7.3000000,0.2982667,15.0129585,85.8933334,"",1.6400000
1/01/2020 8:00:00 AM,Woolston,1.9349999,0.0438333,17.3567638,21.6000000,9.3000000,0.9086389,17.8224716,79.9866638,"",2.4400001
1/01/2020 9:00:00 AM,Woolston,2.5250001,0.0490000,18.0538330,23.8000000,7.2000000,0.8675056,18.7791519,79.5383301,65.0210419,2.1400001
1/01/2020 10:00:00 AM,Woolston,2.1983333,0.0696667,21.3146381,22.3000000,9.1000000,0.7254278,21.9744167,68.3799973,"",2.4400001
1/01/2020 11:00:00 AM,Woolston,2.3316667,0.0990000,22.6950836,27.9000000,8.0000000,0.9899611,23.3650551,63.0966682,40.3210297,2.9400001
1/01/2020 12:00:00 PM,Woolston,2.9749999,0.0845000,23.5073471,40.8000000,9.0000000,1.1742610,24.4478474,61.9316673,33.9300995,3.1400001
1/01/2020 1:00:00 PM,Woolston,2.5416667,"",23.8677502,42.4000000,12.8000000,1.6588330,25.0667362,61.6133347,62.4779510,3.8399999
1/01/2020 2:00:00 PM,Woolston,2.6583333,0.0538333,22.7337227,32.7000000,11.1000000,1.8876390,23.7097912,61.1516685,63.5046005,4.1399999
1/01/2020 3:00:00 PM,Woolston,2.4233334,0.1070000,21.7665005,29.1000000,9.8000000,1.6093000,22.3641949,62.4300003,53.7256012,3.6400001
1/01/2020 4:00:00 PM,Woolston,2.5300000,0.1395000,21.9730282,24.4000000,9.2000000,1.6785330,22.3422642,60.7400017,34.2215996,4.7399998
1/01/2020 5:00:00 PM,Woolston,2.9933333,0.3598333,21.1084175,31.5000000,10.3000000,1.3861440,21.4215412,64.0833359,61.9262505,3.2400000
1/01/2020 6:00:00 PM,Woolston,2.6583333,0.4025000,20.9546661,31.4000000,8.6000000,0.4931722,21.0447216,64.1233368,"",1.8400000
1/01/2020 7:00:00 PM,Woolston,2.4233334,0.1340000,21.2387352,24.2000000,9.6000000,1.1824330,20.9277916,60.8266678,258.1409912,4.1399999
1/01/2020 8:00:00 PM,Woolston,2.4633334,0.2230000,20.4747353,36.5000000,22.1000000,3.1427779,20.4014454,57.9616661,252.9553070,8.5400000
1/01/2020 9:00:00 PM,Woolston,2.1666667,0.1416667,17.8488064,25.8000000,16.9000000,2.3386221,17.8100414,67.4016647,219.6224060,8.9399996
1/01/2020 10:00:00 PM,Woolston,2.4016666,0.1771667,16.9928741,32.4000000,18.6000000,2.5880001,16.9861813,70.0883331,265.1854858,6.2399998
