Date (NZST), Carbon Monoxide Daily Average (mg/m3) (mg/m3), Data quality code
01/01/2018 00:00:00, 0.058, 0
02/01/2018 00:00:00, 0.069, 0
03/01/2018 00:00:00, 0.082, 0
04/01/2018 00:00:00, 0.067, 0
05/01/2018 00:00:00, 0.125, 0
06/01/2018 00:00:00, 0.111, 0
07/01/2018 00:00:00, 0.056, 0
08/01/2018 00:00:00, 0.1, 0
09/01/2018 00:00:00, 0.126, 0
10/01/2018 00:00:00, 0.096, 0
11/01/2018 00:00:00, 0.138, 0
12/01/2018 00:00:00, 0.19, 0
13/01/2018 00:00:00, 0.116, 0
14/01/2018 00:00:00, 0.154, 0
15/01/2018 00:00:00, 0.159, 0
16/01/2018 00:00:00, 0.146, 0
17/01/2018 00:00:00, 0.144, 0
18/01/2018 00:00:00, 0.141, 0
19/01/2018 00:00:00, 0.134, 0
20/01/2018 00:00:00, 0.156, 0
21/01/2018 00:00:00, 0.11, 0
22/01/2018 00:00:00, 0.111, 0
23/01/2018 00:00:00, 0.107, 0
24/01/2018 00:00:00, 0.163, 0
25/01/2018 00:00:00, 0.14, 0
26/01/2018 00:00:00, 0.126, 0
27/01/2018 00:00:00, 0.142, 0
28/01/2018 00:00:00, 0.133, 0
29/01/2018 00:00:00, 0.102, 0
30/01/2018 00:00:00, 0.161, 0
31/01/2018 00:00:00, 0.149, 0
01/02/2018 00:00:00, 0.142, 0
02/02/2018 00:00:00, 0.153, 0
03/02/2018 00:00:00, 0.103, 0
04/02/2018 00:00:00, 0.1, 0
05/02/2018 00:00:00, 0.136, 0
06/02/2018 00:00:00, 0.062, 0
07/02/2018 00:00:00, 0.068, 0
08/02/2018 00:00:00, 0.119, 0
09/02/2018 00:00:00, 0.1, 0
10/02/2018 00:00:00, 0.167, 0
11/02/2018 00:00:00, 0.152, 0
12/02/2018 00:00:00, 0.201, 0
13/02/2018 00:00:00, 0.129, 0
14/02/2018 00:00:00, 0.121, 0
15/02/2018 00:00:00, 0.117, 0
16/02/2018 00:00:00, 0.106, 0
17/02/2018 00:00:00, 0.112, 0
18/02/2018 00:00:00, 0.099, 0
19/02/2018 00:00:00, 0.116, 0
20/02/2018 00:00:00, 0.152, 0
21/02/2018 00:00:00, 0.185, 0
22/02/2018 00:00:00, 0.141, 0
23/02/2018 00:00:00, 0.125, 0
24/02/2018 00:00:00, 0.183, 0
25/02/2018 00:00:00, 0.14, 0
26/02/2018 00:00:00, 0.069, 0
27/02/2018 00:00:00, 0.107, 0
28/02/2018 00:00:00, 0.198, 0
01/03/2018 00:00:00, 0.352, 0
02/03/2018 00:00:00, 0.196, 0
03/03/2018 00:00:00, 0.203, 0
04/03/2018 00:00:00, 0.2, 0
05/03/2018 00:00:00, 0.163, 0
06/03/2018 00:00:00, 0.153, 0
07/03/2018 00:00:00, 0.192, 0
08/03/2018 00:00:00, 0.093, 0
09/03/2018 00:00:00, 0.097, 0
10/03/2018 00:00:00, 0.105, 0
11/03/2018 00:00:00, 0.117, 0
12/03/2018 00:00:00, 0.218, 0
13/03/2018 00:00:00, 0.192, 0
14/03/2018 00:00:00, 0.149, 0
15/03/2018 00:00:00, 0.177, 0
16/03/2018 00:00:00, 0.124, 0
17/03/2018 00:00:00, 0.094, 0
18/03/2018 00:00:00, 0.128, 0
19/03/2018 00:00:00, 0.169, 0
20/03/2018 00:00:00, 0.197, 0
21/03/2018 00:00:00, 0.176, 0
22/03/2018 00:00:00, 0.151, 0
23/03/2018 00:00:00, 0.101, 0
24/03/2018 00:00:00, 0.145, 0
25/03/2018 00:00:00, 0.263, 0
26/03/2018 00:00:00, 0.09, 0
27/03/2018 00:00:00, 0.104, 0
28/03/2018 00:00:00, 0.129, 0
29/03/2018 00:00:00, 0.14, 0
30/03/2018 00:00:00, 0.188, 0
31/03/2018 00:00:00, 0.173, 0
01/04/2018 00:00:00, 0.089, 0
02/04/2018 00:00:00, 0.117, 0
03/04/2018 00:00:00, 0.093, 200
04/04/2018 00:00:00, 0.1, 200
05/04/2018 00:00:00, 0.138, 200
06/04/2018 00:00:00, 0.236, 200
07/04/2018 00:00:00, 0.129, 200
08/04/2018 00:00:00, 0.112, 200
09/04/2018 00:00:00, 0.171, 200
10/04/2018 00:00:00, 0.149, 200
11/04/2018 00:00:00, 0.081, 200
12/04/2018 00:00:00, 0.072, 200
13/04/2018 00:00:00, 0.15, 200
14/04/2018 00:00:00, 0.201, 200
15/04/2018 00:00:00, 0.199, 200
