Date (NZST), Carbon Monoxide 1 Hr Fixed Average (mg/m3) (mg/m3), Data quality code
01/01/2020 00:00:00, 0.138, 200
01/01/2020 01:00:00, 0.157, 200
01/01/2020 02:00:00, 0.106, 200
01/01/2020 03:00:00, 0.078, 200
01/01/2020 04:00:00, 0.089, 200
01/01/2020 05:00:00, 0.079, 200
01/01/2020 06:00:00, 0.077, 200
01/01/2020 07:00:00, 0.085, 200
01/01/2020 08:00:00, 0.072, 200
01/01/2020 09:00:00, 0.079, 200
01/01/2020 10:00:00, 0.103, 200
01/01/2020 11:00:00, 0.109, 200
01/01/2020 12:00:00, 0.106, 200
01/01/2020 13:00:00, 0.099, 200
01/01/2020 14:00:00, 0.086, 200
01/01/2020 15:00:00, 0.084, 200
01/01/2020 16:00:00, 0.092, 200
01/01/2020 17:00:00, 0.085, 200
01/01/2020 18:00:00, 0.11, 200
01/01/2020 19:00:00, 0.076, 200
01/01/2020 20:00:00, 0.083, 200
01/01/2020 21:00:00, 0.077, 200
01/01/2020 22:00:00, 0.085, 200
01/01/2020 23:00:00, 0.068, 200
02/01/2020 00:00:00, 0.065, 200
02/01/2020 02:00:00, 0.055, 200
02/01/2020 03:00:00, 0.055, 200
02/01/2020 04:00:00, 0.062, 200
02/01/2020 05:00:00, 0.07, 200
02/01/2020 06:00:00, 0.068, 200
02/01/2020 07:00:00, 0.073, 200
02/01/2020 08:00:00, 0.064, 200
02/01/2020 09:00:00, 0.08, 200
02/01/2020 10:00:00, 0.097, 200
02/01/2020 11:00:00, 0.106, 200
02/01/2020 12:00:00, 0.113, 200
02/01/2020 13:00:00, 0.106, 200
02/01/2020 14:00:00, 0.099, 200
02/01/2020 15:00:00, 0.096, 200
02/01/2020 16:00:00, 0.076, 200
02/01/2020 17:00:00, 0.084, 200
02/01/2020 18:00:00, 0.057, 200
02/01/2020 19:00:00, 0.066, 200
02/01/2020 20:00:00, 0.071, 200
02/01/2020 21:00:00, 0.036, 200
02/01/2020 22:00:00, 0.034, 200
02/01/2020 23:00:00, 0.041, 200
03/01/2020 00:00:00, 0.078, 200
03/01/2020 01:00:00, 0.098, 200
03/01/2020 02:00:00, 0.206, 200
03/01/2020 03:00:00, 0.293, 200
03/01/2020 04:00:00, 0.149, 200
03/01/2020 05:00:00, 0.173, 200
03/01/2020 06:00:00, 0.145, 200
03/01/2020 07:00:00, 0.242, 200
03/01/2020 08:00:00, 0.154, 200
03/01/2020 09:00:00, 0.133, 200
03/01/2020 10:00:00, 0.166, 200
03/01/2020 11:00:00, 0.205, 200
03/01/2020 12:00:00, 0.197, 200
03/01/2020 13:00:00, 0.169, 200
03/01/2020 14:00:00, 0.184, 200
03/01/2020 15:00:00, 0.221, 200
03/01/2020 16:00:00, 0.212, 200
03/01/2020 17:00:00, 0.235, 200
03/01/2020 18:00:00, 0.215, 200
03/01/2020 19:00:00, 0.154, 200
03/01/2020 20:00:00, 0.104, 200
03/01/2020 21:00:00, 0.135, 200
03/01/2020 22:00:00, 0.096, 200
03/01/2020 23:00:00, 0.066, 200
04/01/2020 00:00:00, 0.047, 200
04/01/2020 01:00:00, 0.03, 200
04/01/2020 02:00:00, 0.033, 200
04/01/2020 03:00:00, 0.03, 200
04/01/2020 04:00:00, 0.036, 200
04/01/2020 05:00:00, 0.032, 200
04/01/2020 06:00:00, 0.05, 200
04/01/2020 07:00:00, 0.055, 200
04/01/2020 08:00:00, 0.059, 200
04/01/2020 09:00:00, 0.067, 200
04/01/2020 10:00:00, 0.074, 200
04/01/2020 11:00:00, 0.08, 200
04/01/2020 12:00:00, 0.058, 200
04/01/2020 13:00:00, 0.071, 200
04/01/2020 14:00:00, 0.064, 200
04/01/2020 15:00:00, 0.067, 200
04/01/2020 16:00:00, 0.053, 200
04/01/2020 17:00:00, 0.068, 200
04/01/2020 18:00:00, 0.086, 200
04/01/2020 19:00:00, 0.064, 200
04/01/2020 20:00:00, 0.069, 200
04/01/2020 21:00:00, 0.095, 200
04/01/2020 22:00:00, 0.082, 200
04/01/2020 23:00:00, 0.062, 200
05/01/2020 00:00:00, 0.055, 200
05/01/2020 02:00:00, 0.037, 200
05/01/2020 03:00:00, 0.037, 200
05/01/2020 04:00:00, 0.039, 200
05/01/2020 05:00:00, 0.047, 200
05/01/2020 06:00:00, 0.059, 200
05/01/2020 07:00:00, 0.071, 200
05/01/2020 08:00:00, 0.078, 200
05/01/2020 09:00:00, 0.065, 200
05/01/2020 10:00:00, 0.082, 200
05/01/2020 11:00:00, 0.082, 200
05/01/2020 12:00:00, 0.085, 200
05/01/2020 13:00:00, 0.079, 200
05/01/2020 14:00:00, 0.075, 200
05/01/2020 15:00:00, 0.07, 200
05/01/2020 16:00:00, 0.096, 200
05/01/2020 17:00:00, 0.053, 200
05/01/2020 18:00:00, 0.046, 200
05/01/2020 19:00:00, 0.052, 200
05/01/2020 20:00:00, 0.037, 200
