Date (NZST), Nitrogen Dioxide 24 hr Average (ug/m3) (ug/m3), Data quality code
01/01/2018 00:00:00, 3.42, 200
02/01/2018 00:00:00, 7.342, 200
03/01/2018 00:00:00, 6.421, 200
04/01/2018 00:00:00, 5.492, 200
05/01/2018 00:00:00, 13.333, 200
06/01/2018 00:00:00, 5.339, 200
07/01/2018 00:00:00, 3.182, 200
08/01/2018 00:00:00, 6.741, 200
09/01/2018 00:00:00, 8.128, 200
10/01/2018 00:00:00, 7.282, 200
11/01/2018 00:00:00, 10.557, 200
12/01/2018 00:00:00, 13.196, 200
13/01/2018 00:00:00, 8.235, 200
14/01/2018 00:00:00, 8.077, 200
15/01/2018 00:00:00, 8.439, 200
16/01/2018 00:00:00, 11.304, 200
17/01/2018 00:00:00, 11.316, 200
18/01/2018 00:00:00, 8.641, 200
19/01/2018 00:00:00, 11.974, 200
20/01/2018 00:00:00, 11.46, 200
21/01/2018 00:00:00, 4.161, 200
22/01/2018 00:00:00, 5.416, 200
23/01/2018 00:00:00, 5.134, 200
24/01/2018 00:00:00, 9.527, 200
25/01/2018 00:00:00, 11.06, 200
26/01/2018 00:00:00, 9.278, 200
27/01/2018 00:00:00, 9.014, 200
28/01/2018 00:00:00, 12.624, 200
29/01/2018 00:00:00, 5.498, 200
30/01/2018 00:00:00, 13.395, 200
31/01/2018 00:00:00, 9.546, 200
01/02/2018 00:00:00, 8.271, 200
02/02/2018 00:00:00, 7.509, 200
03/02/2018 00:00:00, 8.296, 200
04/02/2018 00:00:00, 5.977, 200
05/02/2018 00:00:00, 7.131, 200
06/02/2018 00:00:00, 4.428, 200
07/02/2018 00:00:00, 4.394, 200
08/02/2018 00:00:00, 11.125, 200
09/02/2018 00:00:00, 12.396, 200
10/02/2018 00:00:00, 19.837, 200
11/02/2018 00:00:00, 13.781, 200
12/02/2018 00:00:00, 15.842, 200
13/02/2018 00:00:00, 7.791, 200
14/02/2018 00:00:00, 8.559, 200
15/02/2018 00:00:00, 12.625, 200
16/02/2018 00:00:00, 12.425, 200
17/02/2018 00:00:00, 6.05, 200
18/02/2018 00:00:00, 4.759, 200
19/02/2018 00:00:00, 4.924, 200
20/02/2018 00:00:00, 8.178, 200
21/02/2018 00:00:00, 16.695, 200
22/02/2018 00:00:00, 7.678, 200
23/02/2018 00:00:00, 8.669, 200
24/02/2018 00:00:00, 15.3, 200
25/02/2018 00:00:00, 10.078, 200
26/02/2018 00:00:00, 3.717, 200
27/02/2018 00:00:00, 6.996, 200
28/02/2018 00:00:00, 9.714, 200
01/03/2018 00:00:00, 19.143, 200
02/03/2018 00:00:00, 12.869, 200
03/03/2018 00:00:00, 15.354, 200
04/03/2018 00:00:00, 11.11, 200
05/03/2018 00:00:00, 8.684, 200
06/03/2018 00:00:00, 11.098, 200
07/03/2018 00:00:00, 8.335, 200
08/03/2018 00:00:00, 5.532, 200
09/03/2018 00:00:00, 5.871, 200
10/03/2018 00:00:00, 5.401, 200
11/03/2018 00:00:00, 6.824, 200
13/03/2018 00:00:00, 0, 200
14/03/2018 00:00:00, 8.162, 200
15/03/2018 00:00:00, 8.413, 200
16/03/2018 00:00:00, 4.514, 200
17/03/2018 00:00:00, 4.312, 200
18/03/2018 00:00:00, 5.325, 200
19/03/2018 00:00:00, 7.042, 200
20/03/2018 00:00:00, 9.892, 200
21/03/2018 00:00:00, 8.83, 200
22/03/2018 00:00:00, 0, 200
23/03/2018 00:00:00, 11.323, 200
24/03/2018 00:00:00, 12.847, 200
25/03/2018 00:00:00, 20.618, 200
26/03/2018 00:00:00, 6.587, 200
27/03/2018 00:00:00, 6.915, 200
28/03/2018 00:00:00, 7.702, 200
29/03/2018 00:00:00, 12.59, 200
30/03/2018 00:00:00, 16.117, 200
31/03/2018 00:00:00, 10.875, 200
01/04/2018 00:00:00, 4.584, 200
02/04/2018 00:00:00, 10.692, 200
03/04/2018 00:00:00, 5.308, 200
04/04/2018 00:00:00, 7.432, 200
05/04/2018 00:00:00, 12.341, 200
06/04/2018 00:00:00, 18.58, 200
07/04/2018 00:00:00, 11.188, 200
08/04/2018 00:00:00, 7.335, 200
09/04/2018 00:00:00, 13.297, 200
10/04/2018 00:00:00, 17.927, 200
11/04/2018 00:00:00, 7.464, 200
12/04/2018 00:00:00, 5.941, 200
13/04/2018 00:00:00, 15.017, 200
14/04/2018 00:00:00, 18.156, 200
15/04/2018 00:00:00, 16.497, 200
16/04/2018 00:00:00, 16.915, 200
17/04/2018 00:00:00, 13.861, 200
18/04/2018 00:00:00, 7.695, 200
19/04/2018 00:00:00, 16.753, 200
