Date (NZST), Nitrogen Dioxide 1hr Average (ug/m3) (ug/m3), Data quality code
01/01/2020 00:00:00, 7.619, 200
01/01/2020 01:00:00, 13.807, 200
01/01/2020 02:00:00, 9.046, 200
01/01/2020 03:00:00, 3.154, 200
01/01/2020 04:00:00, 3.388, 200
01/01/2020 05:00:00, 2.303, 200
01/01/2020 06:00:00, 1.992, 200
01/01/2020 07:00:00, 2.949, 200
01/01/2020 08:00:00, 2.397, 200
01/01/2020 09:00:00, 2.195, 200
01/01/2020 10:00:00, 2.205, 200
01/01/2020 11:00:00, 3.382, 200
01/01/2020 12:00:00, 3.08, 200
01/01/2020 13:00:00, 3.208, 200
01/01/2020 14:00:00, 2.346, 200
01/01/2020 15:00:00, 2.667, 200
01/01/2020 16:00:00, 2.896, 200
01/01/2020 17:00:00, 2.33, 200
01/01/2020 18:00:00, 3.145, 200
01/01/2020 19:00:00, 2.894, 200
01/01/2020 20:00:00, 2.617, 200
01/01/2020 21:00:00, 2.504, 200
01/01/2020 22:00:00, 2.81, 200
01/01/2020 23:00:00, 2.873, 200
02/01/2020 00:00:00, 1.895, 200
02/01/2020 01:00:00, 1.541, 200
02/01/2020 03:00:00, 0, 200
02/01/2020 04:00:00, 1.514, 200
02/01/2020 05:00:00, 2.503, 200
02/01/2020 06:00:00, 2.412, 200
02/01/2020 07:00:00, 2.829, 200
02/01/2020 08:00:00, 2.417, 200
02/01/2020 09:00:00, 4.983, 200
02/01/2020 10:00:00, 4.684, 200
02/01/2020 11:00:00, 4.114, 200
02/01/2020 12:00:00, 5.046, 200
02/01/2020 13:00:00, 3.331, 200
02/01/2020 14:00:00, 3.576, 200
02/01/2020 15:00:00, 3.676, 200
02/01/2020 16:00:00, 3.347, 200
02/01/2020 17:00:00, 3.176, 200
02/01/2020 18:00:00, 2.655, 200
02/01/2020 19:00:00, 2.631, 200
02/01/2020 20:00:00, 1.672, 200
02/01/2020 21:00:00, 1.059, 200
02/01/2020 22:00:00, 1.071, 200
02/01/2020 23:00:00, 0.948, 200
03/01/2020 00:00:00, 1.905, 200
03/01/2020 01:00:00, 3.224, 200
03/01/2020 02:00:00, 3.396, 200
03/01/2020 03:00:00, 2.863, 200
03/01/2020 04:00:00, 4.131, 200
03/01/2020 05:00:00, 7.626, 200
03/01/2020 06:00:00, 10.824, 200
03/01/2020 07:00:00, 21.711, 200
03/01/2020 08:00:00, 10.909, 200
03/01/2020 09:00:00, 16.475, 200
03/01/2020 10:00:00, 10.088, 200
03/01/2020 11:00:00, 9.845, 200
03/01/2020 12:00:00, 9.263, 200
03/01/2020 13:00:00, 7.797, 200
03/01/2020 14:00:00, 8.087, 200
03/01/2020 15:00:00, 6.813, 200
03/01/2020 16:00:00, 5.923, 200
03/01/2020 17:00:00, 5.523, 200
03/01/2020 18:00:00, 6.14, 200
03/01/2020 19:00:00, 6.806, 200
03/01/2020 20:00:00, 8.988, 200
03/01/2020 21:00:00, 12.652, 200
03/01/2020 22:00:00, 8.352, 200
03/01/2020 23:00:00, 5.082, 200
04/01/2020 00:00:00, 3.82, 200
04/01/2020 01:00:00, 2.012, 200
04/01/2020 02:00:00, 2.094, 200
04/01/2020 03:00:00, 1.602, 200
04/01/2020 04:00:00, 2.094, 200
04/01/2020 05:00:00, 3.716, 200
04/01/2020 06:00:00, 5.181, 200
04/01/2020 07:00:00, 5.362, 200
04/01/2020 08:00:00, 4.332, 200
04/01/2020 09:00:00, 3.386, 200
04/01/2020 10:00:00, 4.112, 200
04/01/2020 11:00:00, 3.634, 200
04/01/2020 12:00:00, 2.894, 200
04/01/2020 13:00:00, 3.786, 200
04/01/2020 14:00:00, 3.979, 200
04/01/2020 15:00:00, 3.569, 200
04/01/2020 16:00:00, 3.015, 200
04/01/2020 17:00:00, 3.219, 200
04/01/2020 18:00:00, 3.707, 200
04/01/2020 19:00:00, 3.757, 200
04/01/2020 20:00:00, 4.179, 200
04/01/2020 21:00:00, 6.461, 200
04/01/2020 22:00:00, 5.571, 200
04/01/2020 23:00:00, 3.82, 200
05/01/2020 00:00:00, 4.442, 200
05/01/2020 01:00:00, 2.877, 200
05/01/2020 02:00:00, 2.129, 200
05/01/2020 03:00:00, 2.185, 200
05/01/2020 04:00:00, 3.15, 200
05/01/2020 05:00:00, 4.819, 200
05/01/2020 06:00:00, 7.002, 200
05/01/2020 07:00:00, 15.544, 200
05/01/2020 08:00:00, 15.501, 200
05/01/2020 09:00:00, 4.298, 200
05/01/2020 10:00:00, 5.417, 200
05/01/2020 11:00:00, 6.03, 200
05/01/2020 12:00:00, 5.479, 200
05/01/2020 13:00:00, 5.356, 200
05/01/2020 14:00:00, 4.244, 200
05/01/2020 15:00:00, 4.563, 200
05/01/2020 16:00:00, 3.929, 200
05/01/2020 17:00:00, 3.28, 200
05/01/2020 18:00:00, 2.433, 200
05/01/2020 19:00:00, 2.911, 200
05/01/2020 20:00:00, 1.358, 200
05/01/2020 21:00:00, 1.076, 200
05/01/2020 22:00:00, 1.864, 200
05/01/2020 23:00:00, 4.905, 200
06/01/2020 00:00:00, 4.177, 200
06/01/2020 01:00:00, 2.199, 200
06/01/2020 02:00:00, 3.307, 200
06/01/2020 03:00:00, 2.286, 200
06/01/2020 04:00:00, 2.163, 200
06/01/2020 05:00:00, 6.382, 200
06/01/2020 06:00:00, 9.329, 200
06/01/2020 07:00:00, 21.349, 200
06/01/2020 08:00:00, 10.038, 200
06/01/2020 09:00:00, 0, 200
06/01/2020 10:00:00, 4.79, 200
06/01/2020 11:00:00, 6.09, 200
06/01/2020 12:00:00, 6.461, 200
06/01/2020 13:00:00, 5.595, 200
06/01/2020 14:00:00, 5.157, 200
06/01/2020 15:00:00, 4.903, 200
06/01/2020 16:00:00, 5.942, 200
06/01/2020 17:00:00, 5.479, 200
06/01/2020 18:00:00, 3.4, 200
06/01/2020 19:00:00, 3.352, 200
06/01/2020 20:00:00, 2.539, 200
06/01/2020 21:00:00, 2.205, 200
06/01/2020 22:00:00, 1.929, 200
06/01/2020 23:00:00, 0.987, 200
07/01/2020 00:00:00, 0.888, 200
07/01/2020 01:00:00, 2.566, 200
07/01/2020 02:00:00, 2.559, 200
07/01/2020 03:00:00, 2.199, 200
07/01/2020 04:00:00, 3.318, 200
07/01/2020 05:00:00, 8.526, 200
07/01/2020 06:00:00, 17.078, 200
07/01/2020 07:00:00, 23.267, 200
07/01/2020 08:00:00, 12.401, 200
07/01/2020 09:00:00, 8.549, 200
07/01/2020 10:00:00, 5.805, 200
07/01/2020 11:00:00, 5.766, 200
07/01/2020 12:00:00, 5.788, 200
07/01/2020 13:00:00, 4.464, 200
07/01/2020 14:00:00, 4.524, 200
07/01/2020 15:00:00, 4.16, 200
07/01/2020 16:00:00, 4.449, 200
07/01/2020 17:00:00, 4.302, 200
07/01/2020 18:00:00, 4.626, 200
07/01/2020 19:00:00, 4.828, 200
07/01/2020 20:00:00, 5.043, 200
07/01/2020 21:00:00, 4.52, 200
07/01/2020 22:00:00, 4.397, 200
07/01/2020 23:00:00, 4.008, 200
08/01/2020 00:00:00, 3.365, 200
08/01/2020 01:00:00, 1.678, 200
08/01/2020 03:00:00, 0, 200
08/01/2020 04:00:00, 3.08, 200
08/01/2020 05:00:00, 3.478, 200
08/01/2020 06:00:00, 6.697, 200
08/01/2020 07:00:00, 10.265, 200
08/01/2020 08:00:00, 9.9, 200
08/01/2020 09:00:00, 7.761, 200
08/01/2020 10:00:00, 7.906, 200
08/01/2020 11:00:00, 7.518, 200
08/01/2020 12:00:00, 6.022, 200
08/01/2020 13:00:00, 7.264, 200
08/01/2020 14:00:00, 6.516, 200
08/01/2020 15:00:00, 6.68, 200
08/01/2020 16:00:00, 7.595, 200
08/01/2020 17:00:00, 7.993, 200
08/01/2020 18:00:00, 7.605, 200
08/01/2020 19:00:00, 7.271, 200
08/01/2020 20:00:00, 9.835, 200
08/01/2020 21:00:00, 10.846, 200
08/01/2020 22:00:00, 16.576, 200
08/01/2020 23:00:00, 6.565, 200
09/01/2020 00:00:00, 6.914, 200
09/01/2020 01:00:00, 7.296, 200
09/01/2020 02:00:00, 4.162, 200
09/01/2020 03:00:00, 7.054, 200
09/01/2020 04:00:00, 2.417, 200
09/01/2020 05:00:00, 3.881, 200
09/01/2020 06:00:00, 8.685, 200
09/01/2020 07:00:00, 18.079, 200
09/01/2020 08:00:00, 15.221, 200
09/01/2020 09:00:00, 11.606, 200
09/01/2020 10:00:00, 7.114, 200
09/01/2020 11:00:00, 7.332, 200
09/01/2020 12:00:00, 8.364, 200
09/01/2020 13:00:00, 4.156, 200
09/01/2020 14:00:00, 6.275, 200
09/01/2020 15:00:00, 5.226, 200
09/01/2020 16:00:00, 7.286, 200
09/01/2020 17:00:00, 6.213, 200
09/01/2020 18:00:00, 6.768, 200
09/01/2020 19:00:00, 4.607, 200
09/01/2020 20:00:00, 6.709, 200
09/01/2020 21:00:00, 8.572, 200
09/01/2020 22:00:00, 9.078, 200
09/01/2020 23:00:00, 5.578, 200
10/01/2020 00:00:00, 6.476, 200
10/01/2020 01:00:00, 3.856, 200
10/01/2020 02:00:00, 10.677, 200
10/01/2020 03:00:00, 7.689, 200
10/01/2020 04:00:00, 5.954, 200
10/01/2020 05:00:00, 5.863, 200
10/01/2020 06:00:00, 9.801, 200
10/01/2020 07:00:00, 13.152, 200
10/01/2020 08:00:00, 11.562, 200
10/01/2020 09:00:00, 7.57, 200
10/01/2020 10:00:00, 7.901, 200
10/01/2020 11:00:00, 7.182, 200
10/01/2020 12:00:00, 4.915, 200
10/01/2020 13:00:00, 6.823, 200
10/01/2020 14:00:00, 7.576, 200
10/01/2020 15:00:00, 6.481, 200
10/01/2020 16:00:00, 8.162, 200
10/01/2020 17:00:00, 6.136, 200
10/01/2020 18:00:00, 5.95, 200
10/01/2020 19:00:00, 6.282, 200
10/01/2020 20:00:00, 8.226, 200
10/01/2020 21:00:00, 4.296, 200
10/01/2020 22:00:00, 4.138, 200
10/01/2020 23:00:00, 3.562, 200
11/01/2020 00:00:00, 5.67, 200
11/01/2020 01:00:00, 2.542, 200
11/01/2020 02:00:00, 3.895, 200
11/01/2020 03:00:00, 2.979, 200
11/01/2020 04:00:00, 2.682, 200
11/01/2020 05:00:00, 5.656, 200
11/01/2020 06:00:00, 7.79, 200
11/01/2020 07:00:00, 4.899, 200
11/01/2020 08:00:00, 5.73, 200
11/01/2020 09:00:00, 6.063, 200
11/01/2020 10:00:00, 5.113, 200
11/01/2020 11:00:00, 5.269, 200
11/01/2020 12:00:00, 5.286, 200
11/01/2020 13:00:00, 4.454, 200
11/01/2020 14:00:00, 4.327, 200
11/01/2020 15:00:00, 4.413, 200
11/01/2020 16:00:00, 3.007, 200
11/01/2020 17:00:00, 2.286, 200
11/01/2020 18:00:00, 3.364, 200
11/01/2020 19:00:00, 2.59, 200
11/01/2020 20:00:00, 0, 200
11/01/2020 21:00:00, 1.466, 200
11/01/2020 22:00:00, 1.842, 200
11/01/2020 23:00:00, 1.806, 200
12/01/2020 00:00:00, 1.502, 200
12/01/2020 01:00:00, 0.794, 200
12/01/2020 02:00:00, 1.155, 200
12/01/2020 03:00:00, 1.083, 200
12/01/2020 04:00:00, 1.401, 200
12/01/2020 05:00:00, 1.538, 200
12/01/2020 06:00:00, 0.82, 200
12/01/2020 07:00:00, 1.196, 200
