Date (NZST), Ozone 1hr Average (ug/m3) (ug/m3), Data quality code
01/01/2020 00:00:00, 12.281, 200
01/01/2020 01:00:00, 9.393, 200
01/01/2020 02:00:00, 11.507, 200
01/01/2020 03:00:00, 14.71, 200
01/01/2020 04:00:00, 14.665, 200
01/01/2020 05:00:00, 15.548, 200
01/01/2020 06:00:00, 15.423, 200
01/01/2020 07:00:00, 14.797, 200
01/01/2020 08:00:00, 14.858, 200
01/01/2020 09:00:00, 15.088, 200
01/01/2020 10:00:00, 14.797, 200
01/01/2020 11:00:00, 12.718, 200
01/01/2020 12:00:00, 13.662, 200
01/01/2020 13:00:00, 13.834, 200
01/01/2020 14:00:00, 14.024, 200
01/01/2020 15:00:00, 13.548, 200
01/01/2020 16:00:00, 13.087, 200
01/01/2020 17:00:00, 13.433, 200
01/01/2020 18:00:00, 13.773, 200
01/01/2020 19:00:00, 14.857, 200
01/01/2020 20:00:00, 16.594, 200
01/01/2020 21:00:00, 17.172, 200
01/01/2020 22:00:00, 17.348, 200
01/01/2020 23:00:00, 16.819, 200
02/01/2020 00:00:00, 17.125, 200
02/01/2020 01:00:00, 16.978, 200
02/01/2020 02:00:00, 16.984, 200
02/01/2020 03:00:00, 16.975, 200
02/01/2020 04:00:00, 17.348, 200
02/01/2020 05:00:00, 17.212, 200
02/01/2020 06:00:00, 17.142, 200
02/01/2020 07:00:00, 16.424, 200
02/01/2020 08:00:00, 17.288, 200
02/01/2020 09:00:00, 16.108, 200
02/01/2020 10:00:00, 16.582, 200
02/01/2020 11:00:00, 17.836, 200
02/01/2020 12:00:00, 17.839, 200
02/01/2020 13:00:00, 17.848, 200
02/01/2020 14:00:00, 18.135, 200
02/01/2020 15:00:00, 17.212, 200
02/01/2020 16:00:00, 16.196, 200
02/01/2020 17:00:00, 15.442, 200
02/01/2020 18:00:00, 15.158, 200
02/01/2020 19:00:00, 14.648, 200
02/01/2020 20:00:00, 13.687, 200
02/01/2020 21:00:00, 13.923, 200
02/01/2020 22:00:00, 13.635, 200
02/01/2020 23:00:00, 14.435, 200
03/01/2020 00:00:00, 16.593, 200
03/01/2020 01:00:00, 19.788, 200
03/01/2020 02:00:00, 24.74, 200
03/01/2020 03:00:00, 27.42, 200
03/01/2020 04:00:00, 19.326, 200
03/01/2020 05:00:00, 18.518, 200
03/01/2020 06:00:00, 15.672, 200
