Date (NZST), Air Quality PM10 (Daily Average) (ug/m3), Data quality code
01/01/2018 00:00:00, 6.21, undefined
02/01/2018 00:00:00, 14.165, undefined
03/01/2018 00:00:00, 4.728, undefined
04/01/2018 00:00:00, 5.569, undefined
05/01/2018 00:00:00, 5.891, undefined
06/01/2018 00:00:00, 6.54, undefined
07/01/2018 00:00:00, 19.978, undefined
08/01/2018 00:00:00, 14.188, undefined
09/01/2018 00:00:00, 15.643, undefined
10/01/2018 00:00:00, 11.983, undefined
11/01/2018 00:00:00, 6.732, undefined
12/01/2018 00:00:00, 3.035, undefined
13/01/2018 00:00:00, 4.88, undefined
14/01/2018 00:00:00, 8.356, undefined
15/01/2018 00:00:00, 9.51, undefined
16/01/2018 00:00:00, 9.169, undefined
17/01/2018 00:00:00, 8.616, undefined
18/01/2018 00:00:00, 10.372, undefined
19/01/2018 00:00:00, 6.85, undefined
20/01/2018 00:00:00, 14.466, undefined
21/01/2018 00:00:00, 9.238, undefined
22/01/2018 00:00:00, 9.485, undefined
23/01/2018 00:00:00, 4.976, undefined
24/01/2018 00:00:00, 9.172, undefined
25/01/2018 00:00:00, 13.37, undefined
26/01/2018 00:00:00, 17.082, undefined
27/01/2018 00:00:00, 12.759, undefined
28/01/2018 00:00:00, 9.599, undefined
29/01/2018 00:00:00, 12.045, undefined
30/01/2018 00:00:00, 13.932, undefined
31/01/2018 00:00:00, 12.787, undefined
01/02/2018 00:00:00, 16.262, undefined
02/02/2018 00:00:00, 19.477, undefined
03/02/2018 00:00:00, 17.5, undefined
04/02/2018 00:00:00, 15.112, undefined
05/02/2018 00:00:00, 9.447, undefined
06/02/2018 00:00:00, 12.978, undefined
07/02/2018 00:00:00, 16.142, undefined
08/02/2018 00:00:00, 13.838, undefined
09/02/2018 00:00:00, 11.264, undefined
10/02/2018 00:00:00, 10.718, undefined
11/02/2018 00:00:00, 6.106, undefined
12/02/2018 00:00:00, 8.607, undefined
13/02/2018 00:00:00, 4.91, undefined
14/02/2018 00:00:00, 6.597, undefined
15/02/2018 00:00:00, 13.739, undefined
16/02/2018 00:00:00, 13.819, undefined
17/02/2018 00:00:00, 11.713, undefined
18/02/2018 00:00:00, 10.483, undefined
19/02/2018 00:00:00, 13.542, undefined
20/02/2018 00:00:00, 14.452, undefined
21/02/2018 00:00:00, 10.11, undefined
22/02/2018 00:00:00, 20.914, undefined
23/02/2018 00:00:00, 12.286, undefined
24/02/2018 00:00:00, 11.618, undefined
25/02/2018 00:00:00, 13.762, undefined
26/02/2018 00:00:00, 10.794, undefined
27/02/2018 00:00:00, 14.909, undefined
28/02/2018 00:00:00, 11.647, undefined
01/03/2018 00:00:00, 14.113, undefined
02/03/2018 00:00:00, 16.631, undefined
03/03/2018 00:00:00, 17.75, undefined
04/03/2018 00:00:00, 15.342, undefined
05/03/2018 00:00:00, 16.643, undefined
06/03/2018 00:00:00, 14.579, undefined
07/03/2018 00:00:00, 8.237, undefined
08/03/2018 00:00:00, 15.445, undefined
09/03/2018 00:00:00, 17.17, undefined
10/03/2018 00:00:00, 19.096, undefined
11/03/2018 00:00:00, 14.535, undefined
12/03/2018 00:00:00, 11.648, undefined
13/03/2018 00:00:00, 8.421, undefined
14/03/2018 00:00:00, 18.233, undefined
15/03/2018 00:00:00, 17.793, undefined
16/03/2018 00:00:00, 13.838, undefined
17/03/2018 00:00:00, 23.972, undefined
18/03/2018 00:00:00, 22.128, undefined
19/03/2018 00:00:00, 11.498, undefined
20/03/2018 00:00:00, 7.035, undefined
21/03/2018 00:00:00, 11.86, undefined
22/03/2018 00:00:00, 12.037, undefined
23/03/2018 00:00:00, 10.87, undefined
24/03/2018 00:00:00, 8.361, undefined
25/03/2018 00:00:00, 10.4, undefined
26/03/2018 00:00:00, 10.721, undefined
27/03/2018 00:00:00, 7.378, undefined
28/03/2018 00:00:00, 11.82, undefined
29/03/2018 00:00:00, 10.237, undefined
30/03/2018 00:00:00, 19.503, undefined
31/03/2018 00:00:00, 12.887, undefined
01/04/2018 00:00:00, 19.763, undefined
02/04/2018 00:00:00, 17.211, undefined
03/04/2018 00:00:00, 13.954, undefined
04/04/2018 00:00:00, 21.741, undefined
05/04/2018 00:00:00, 19.444, undefined
06/04/2018 00:00:00, 18.607, undefined
07/04/2018 00:00:00, 18.733, undefined
08/04/2018 00:00:00, 15.371, undefined
09/04/2018 00:00:00, 10.241, undefined
10/04/2018 00:00:00, 16.524, undefined
11/04/2018 00:00:00, 13.434, undefined
12/04/2018 00:00:00, 16.691, undefined
13/04/2018 00:00:00, 9.472, undefined
14/04/2018 00:00:00, 17.893, undefined
15/04/2018 00:00:00, 11.257, undefined
16/04/2018 00:00:00, 7.73, undefined
17/04/2018 00:00:00, 14.535, undefined
18/04/2018 00:00:00, 22.525, undefined
19/04/2018 00:00:00, 14.174, undefined
20/04/2018 00:00:00, 10.924, undefined
21/04/2018 00:00:00, 17.975, undefined
22/04/2018 00:00:00, 16.599, undefined
23/04/2018 00:00:00, 12.531, undefined
24/04/2018 00:00:00, 14.588, undefined
25/04/2018 00:00:00, 13.094, undefined
26/04/2018 00:00:00, 9.86, undefined
27/04/2018 00:00:00, 15.897, undefined
28/04/2018 00:00:00, 11.599, undefined
29/04/2018 00:00:00, 13.323, undefined
30/04/2018 00:00:00, 7.732, undefined
01/05/2018 00:00:00, 7.446, undefined
02/05/2018 00:00:00, 11.618, undefined
03/05/2018 00:00:00, 17.187, undefined
04/05/2018 00:00:00, 16.326, undefined
05/05/2018 00:00:00, 17.012, undefined
06/05/2018 00:00:00, 10.347, undefined
07/05/2018 00:00:00, 13.541, undefined
08/05/2018 00:00:00, 15.689, undefined
09/05/2018 00:00:00, 17.023, undefined
10/05/2018 00:00:00, 23.499, undefined
11/05/2018 00:00:00, 20.244, undefined
12/05/2018 00:00:00, 12.4, undefined
13/05/2018 00:00:00, 18.365, undefined
14/05/2018 00:00:00, 7.181, undefined
15/05/2018 00:00:00, 6.244, undefined
16/05/2018 00:00:00, 18.841, undefined
17/05/2018 00:00:00, 11.102, undefined
18/05/2018 00:00:00, 11.811, undefined
19/05/2018 00:00:00, 10.867, undefined
20/05/2018 00:00:00, 14.447, undefined
21/05/2018 00:00:00, 11.605, undefined
22/05/2018 00:00:00, 15.382, undefined
23/05/2018 00:00:00, 12.29, undefined
24/05/2018 00:00:00, 11.845, undefined
25/05/2018 00:00:00, 9.332, undefined
26/05/2018 00:00:00, 9.943, undefined
27/05/2018 00:00:00, 9.2, undefined
28/05/2018 00:00:00, 11.256, undefined
29/05/2018 00:00:00, 15.63, undefined
30/05/2018 00:00:00, 9.709, undefined
31/05/2018 00:00:00, 13.061, undefined
01/06/2018 00:00:00, 11.06, undefined
02/06/2018 00:00:00, 5.262, undefined
03/06/2018 00:00:00, 7.729, undefined
04/06/2018 00:00:00, 7.059, undefined
05/06/2018 00:00:00, 5.336, undefined
06/06/2018 00:00:00, 13.314, undefined
07/06/2018 00:00:00, 13.182, undefined
08/06/2018 00:00:00, 14.161, undefined
09/06/2018 00:00:00, 16.092, undefined
10/06/2018 00:00:00, 12.237, undefined
11/06/2018 00:00:00, 13.195, undefined
12/06/2018 00:00:00, 18.443, undefined
13/06/2018 00:00:00, 16.143, undefined
14/06/2018 00:00:00, 9.691, undefined
15/06/2018 00:00:00, 12.416, undefined
16/06/2018 00:00:00, 8.868, undefined
17/06/2018 00:00:00, 11.869, undefined
18/06/2018 00:00:00, 6.723, undefined
19/06/2018 00:00:00, 8.702, undefined
20/06/2018 00:00:00, 13.3, undefined
21/06/2018 00:00:00, 14.469, undefined
22/06/2018 00:00:00, 8.841, undefined
23/06/2018 00:00:00, 13.615, undefined
24/06/2018 00:00:00, 6.197, undefined
25/06/2018 00:00:00, 13.199, undefined
26/06/2018 00:00:00, 12.311, undefined
27/06/2018 00:00:00, 10.273, undefined
28/06/2018 00:00:00, 13.413, undefined
29/06/2018 00:00:00, 17.794, undefined
30/06/2018 00:00:00, 18.017, undefined
01/07/2018 00:00:00, 11.409, undefined
02/07/2018 00:00:00, 3.789, undefined
03/07/2018 00:00:00, 13.632, undefined
04/07/2018 00:00:00, 15.977, undefined
05/07/2018 00:00:00, 14.026, undefined
06/07/2018 00:00:00, 16.795, undefined
07/07/2018 00:00:00, 9.251, undefined
08/07/2018 00:00:00, 11.993, undefined
09/07/2018 00:00:00, 7.828, undefined
10/07/2018 00:00:00, 18.153, undefined
11/07/2018 00:00:00, 11.367, undefined
12/07/2018 00:00:00, 10.807, undefined
13/07/2018 00:00:00, 24.296, undefined
14/07/2018 00:00:00, 8.565, undefined
15/07/2018 00:00:00, 9.912, undefined
16/07/2018 00:00:00, 7.679, undefined
17/07/2018 00:00:00, 8.85, undefined
18/07/2018 00:00:00, 18.896, undefined
19/07/2018 00:00:00, 14.452, undefined
20/07/2018 00:00:00, 8.042, undefined
21/07/2018 00:00:00, 7.385, undefined
22/07/2018 00:00:00, 10.688, undefined
23/07/2018 00:00:00, 17.118, undefined
24/07/2018 00:00:00, 9.18, undefined
25/07/2018 00:00:00, 8.623, undefined
26/07/2018 00:00:00, 7.174, undefined
27/07/2018 00:00:00, 7.105, undefined
