Date (NZST), Air Quality PM10 (Hourly Average) (ug/m3), Data quality code
01/01/2020 00:00:00, 10.87, undefined
01/01/2020 01:00:00, 8.821, undefined
01/01/2020 02:00:00, 7.896, undefined
01/01/2020 03:00:00, 8.902, undefined
01/01/2020 04:00:00, 8.856, undefined
01/01/2020 05:00:00, 9.092, undefined
01/01/2020 06:00:00, 8.1, undefined
01/01/2020 07:00:00, 8.274, undefined
01/01/2020 08:00:00, 10.042, undefined
01/01/2020 09:00:00, 10.413, undefined
01/01/2020 10:00:00, 11.628, undefined
01/01/2020 11:00:00, 11.225, undefined
01/01/2020 12:00:00, 13.01, undefined
01/01/2020 13:00:00, 14.265, undefined
01/01/2020 14:00:00, 14.045, undefined
01/01/2020 15:00:00, 15.152, undefined
01/01/2020 16:00:00, 18.562, undefined
01/01/2020 17:00:00, 19.12, undefined
01/01/2020 18:00:00, 18.095, undefined
01/01/2020 19:00:00, 18.743, undefined
01/01/2020 20:00:00, 20.742, undefined
01/01/2020 21:00:00, 19.11, undefined
01/01/2020 22:00:00, 17.103, undefined
01/01/2020 23:00:00, 15.62, undefined
02/01/2020 00:00:00, 15.348, undefined
02/01/2020 01:00:00, 12.465, undefined
02/01/2020 02:00:00, 8.58, undefined
02/01/2020 03:00:00, 8.419, undefined
02/01/2020 04:00:00, 10.385, undefined
02/01/2020 05:00:00, 11.882, undefined
02/01/2020 06:00:00, 11.003, undefined
02/01/2020 07:00:00, 12.338, undefined
02/01/2020 08:00:00, 13.622, undefined
02/01/2020 09:00:00, 15.137, undefined
02/01/2020 10:00:00, 14.912, undefined
02/01/2020 11:00:00, 13.6, undefined
02/01/2020 12:00:00, 11.598, undefined
02/01/2020 13:00:00, 12.697, undefined
02/01/2020 14:00:00, 14.777, undefined
02/01/2020 15:00:00, 15.558, undefined
02/01/2020 16:00:00, 14.983, undefined
02/01/2020 17:00:00, 14.627, undefined
02/01/2020 18:00:00, 13.553, undefined
02/01/2020 19:00:00, 10.84, undefined
02/01/2020 20:00:00, 9.398, undefined
02/01/2020 21:00:00, 11.12, undefined
02/01/2020 22:00:00, 13.705, undefined
02/01/2020 23:00:00, 13.242, undefined
03/01/2020 00:00:00, 14.262, undefined
03/01/2020 01:00:00, 14.892, undefined
03/01/2020 02:00:00, 20.927, undefined
03/01/2020 03:00:00, 31.69, undefined
03/01/2020 04:00:00, 37.345, undefined
03/01/2020 05:00:00, 33.705, undefined
03/01/2020 06:00:00, 32.822, undefined
03/01/2020 07:00:00, 35.195, undefined
03/01/2020 08:00:00, 39.77, undefined
03/01/2020 09:00:00, 38.518, undefined
03/01/2020 10:00:00, 34.945, undefined
03/01/2020 11:00:00, 31.853, undefined
03/01/2020 12:00:00, 30.103, undefined
03/01/2020 13:00:00, 25.94, undefined
03/01/2020 14:00:00, 23.015, undefined
03/01/2020 15:00:00, 21.192, undefined
03/01/2020 16:00:00, 20.768, undefined
03/01/2020 17:00:00, 21.257, undefined
03/01/2020 18:00:00, 20.758, undefined
03/01/2020 19:00:00, 19.512, undefined
03/01/2020 20:00:00, 17.565, undefined
03/01/2020 21:00:00, 15.572, undefined
03/01/2020 22:00:00, 16.2, undefined
03/01/2020 23:00:00, 16.437, undefined
04/01/2020 00:00:00, 16.04, undefined
04/01/2020 01:00:00, 18.43, undefined
04/01/2020 02:00:00, 21.81, undefined
04/01/2020 03:00:00, 18.718, undefined
04/01/2020 04:00:00, 16.647, undefined
04/01/2020 05:00:00, 14.653, undefined
04/01/2020 06:00:00, 12.23, undefined
04/01/2020 07:00:00, 9.523, undefined
04/01/2020 08:00:00, 8.533, undefined
04/01/2020 09:00:00, 7.705, undefined
04/01/2020 10:00:00, 8.896, undefined
04/01/2020 11:00:00, 8.622, undefined
04/01/2020 12:00:00, 7.874, undefined
04/01/2020 13:00:00, 5.993, undefined
04/01/2020 14:00:00, 6.458, undefined
04/01/2020 15:00:00, 7.11, undefined
04/01/2020 16:00:00, 9.23, undefined
04/01/2020 17:00:00, 9.545, undefined
04/01/2020 18:00:00, 11.738, undefined
04/01/2020 19:00:00, 16.06, undefined
04/01/2020 20:00:00, 17.28, undefined
04/01/2020 21:00:00, 18.643, undefined
04/01/2020 22:00:00, 20.7, undefined
04/01/2020 23:00:00, 20.555, undefined
05/01/2020 00:00:00, 21.532, undefined
05/01/2020 01:00:00, 21.085, undefined
05/01/2020 02:00:00, 21.015, undefined
05/01/2020 03:00:00, 21.123, undefined
05/01/2020 04:00:00, 18.895, undefined
05/01/2020 05:00:00, 16.457, undefined
05/01/2020 06:00:00, 15.728, undefined
05/01/2020 07:00:00, 15.413, undefined
05/01/2020 08:00:00, 16.01, undefined
05/01/2020 09:00:00, 17.422, undefined
05/01/2020 10:00:00, 18.187, undefined
05/01/2020 11:00:00, 18.282, undefined
05/01/2020 12:00:00, 17.887, undefined
05/01/2020 13:00:00, 16.962, undefined
05/01/2020 14:00:00, 17.623, undefined
05/01/2020 15:00:00, 20.442, undefined
05/01/2020 16:00:00, 21.515, undefined
05/01/2020 17:00:00, 20.567, undefined
05/01/2020 18:00:00, 16.905, undefined
05/01/2020 19:00:00, 12.615, undefined
05/01/2020 20:00:00, 8.972, undefined
05/01/2020 21:00:00, 10.202, undefined
05/01/2020 22:00:00, 11.108, undefined
05/01/2020 23:00:00, 13.662, undefined
06/01/2020 00:00:00, 13.128, undefined
06/01/2020 01:00:00, 14.025, undefined
06/01/2020 02:00:00, 22.193, undefined
06/01/2020 03:00:00, 31.608, undefined
06/01/2020 04:00:00, 36.643, undefined
06/01/2020 05:00:00, 36.127, undefined
06/01/2020 06:00:00, 31.105, undefined
06/01/2020 07:00:00, 29.197, undefined
06/01/2020 08:00:00, 28.963, undefined
06/01/2020 09:00:00, 22.478, undefined
06/01/2020 10:00:00, 14.782, undefined
06/01/2020 11:00:00, 11.805, undefined
06/01/2020 12:00:00, 9.987, undefined
06/01/2020 13:00:00, 8.977, undefined
06/01/2020 14:00:00, 11.605, undefined
06/01/2020 15:00:00, 12.613, undefined
06/01/2020 16:00:00, 11.99, undefined
06/01/2020 17:00:00, 12.737, undefined
06/01/2020 18:00:00, 13.345, undefined
06/01/2020 19:00:00, 11.582, undefined
06/01/2020 20:00:00, 13.76, undefined
06/01/2020 21:00:00, 19.4, undefined
06/01/2020 22:00:00, 18.71, undefined
06/01/2020 23:00:00, 17.933, undefined
07/01/2020 00:00:00, 19.277, undefined
07/01/2020 01:00:00, 24.85, undefined
07/01/2020 02:00:00, 26.333, undefined
07/01/2020 03:00:00, 22.158, undefined
07/01/2020 04:00:00, 18.86, undefined
07/01/2020 05:00:00, 14.905, undefined
07/01/2020 06:00:00, 11.857, undefined
07/01/2020 07:00:00, 10.098, undefined
07/01/2020 08:00:00, 12.503, undefined
07/01/2020 09:00:00, 15.367, undefined
07/01/2020 10:00:00, 14.957, undefined
07/01/2020 11:00:00, 15.808, undefined
07/01/2020 12:00:00, 17.427, undefined
07/01/2020 13:00:00, 16.987, undefined
07/01/2020 14:00:00, 20.27, undefined
07/01/2020 15:00:00, 20.32, undefined
07/01/2020 16:00:00, 19.877, undefined
07/01/2020 17:00:00, 20.743, undefined
07/01/2020 18:00:00, 20.968, undefined
07/01/2020 19:00:00, 22.03, undefined
07/01/2020 20:00:00, 23.313, undefined
07/01/2020 21:00:00, 22.575, undefined
07/01/2020 22:00:00, 21.262, undefined
07/01/2020 23:00:00, 20.843, undefined
08/01/2020 00:00:00, 21.65, undefined
08/01/2020 01:00:00, 19.337, undefined
08/01/2020 02:00:00, 18.615, undefined
08/01/2020 03:00:00, 19.038, undefined
08/01/2020 04:00:00, 19.993, undefined
08/01/2020 05:00:00, 18.758, undefined
08/01/2020 06:00:00, 19.417, undefined
08/01/2020 07:00:00, 18.558, undefined
08/01/2020 08:00:00, 17.637, undefined
08/01/2020 09:00:00, 18.418, undefined
08/01/2020 10:00:00, 18.537, undefined
08/01/2020 11:00:00, 17.445, undefined
08/01/2020 12:00:00, 14.712, undefined
08/01/2020 13:00:00, 12.45, undefined
08/01/2020 14:00:00, 11.612, undefined
08/01/2020 15:00:00, 11.555, undefined
08/01/2020 16:00:00, 11.345, undefined
08/01/2020 17:00:00, 12.597, undefined
08/01/2020 18:00:00, 12.883, undefined
08/01/2020 19:00:00, 13.03, undefined
08/01/2020 20:00:00, 13.067, undefined
08/01/2020 21:00:00, 14.395, undefined
08/01/2020 22:00:00, 14.775, undefined
08/01/2020 23:00:00, 11.887, undefined
09/01/2020 00:00:00, 13.472, undefined
09/01/2020 01:00:00, 12.148, undefined
09/01/2020 02:00:00, 11.913, undefined
09/01/2020 03:00:00, 12.503, undefined
09/01/2020 04:00:00, 13.883, undefined
09/01/2020 05:00:00, 15.688, undefined
09/01/2020 06:00:00, 15.965, undefined
09/01/2020 07:00:00, 17.023, undefined
09/01/2020 08:00:00, 18.9, undefined
09/01/2020 09:00:00, 18.93, undefined
09/01/2020 10:00:00, 17.928, undefined
09/01/2020 11:00:00, 16.662, undefined
09/01/2020 12:00:00, 17.168, undefined
09/01/2020 13:00:00, 14.267, undefined
09/01/2020 14:00:00, 11.525, undefined
09/01/2020 15:00:00, 8.475, undefined
09/01/2020 16:00:00, 8.483, undefined
09/01/2020 17:00:00, 9.837, undefined
09/01/2020 18:00:00, 7.603, undefined
09/01/2020 19:00:00, 7.217, undefined
09/01/2020 20:00:00, 7.9, undefined
09/01/2020 21:00:00, 9.24, undefined
09/01/2020 22:00:00, 11.987, undefined
09/01/2020 23:00:00, 15.59, undefined
10/01/2020 00:00:00, 19.262, undefined
10/01/2020 01:00:00, 21.127, undefined
10/01/2020 02:00:00, 23.758, undefined
10/01/2020 03:00:00, 24.198, undefined
10/01/2020 04:00:00, 23.557, undefined
10/01/2020 05:00:00, 21.88, undefined
10/01/2020 06:00:00, 20.612, undefined
10/01/2020 07:00:00, 20.197, undefined
10/01/2020 08:00:00, 16.497, undefined
10/01/2020 09:00:00, 14.748, undefined
10/01/2020 10:00:00, 12.343, undefined
10/01/2020 11:00:00, 10.668, undefined
10/01/2020 12:00:00, 10.388, undefined
10/01/2020 13:00:00, 11.183, undefined
10/01/2020 14:00:00, 9.495, undefined
10/01/2020 15:00:00, 9.698, undefined
10/01/2020 16:00:00, 10.41, undefined
10/01/2020 17:00:00, 12.182, undefined
10/01/2020 18:00:00, 13.63, undefined
10/01/2020 19:00:00, 14.68, undefined
10/01/2020 20:00:00, 15.805, undefined
10/01/2020 21:00:00, 15.5, undefined
10/01/2020 22:00:00, 18.267, undefined
10/01/2020 23:00:00, 18.91, undefined
11/01/2020 00:00:00, 19.813, undefined
11/01/2020 01:00:00, 21.518, undefined
11/01/2020 02:00:00, 21.59, undefined
11/01/2020 03:00:00, 22.333, undefined
11/01/2020 04:00:00, 22.385, undefined
11/01/2020 05:00:00, 22.61, undefined
11/01/2020 06:00:00, 22.613, undefined
11/01/2020 07:00:00, 23.977, undefined
11/01/2020 08:00:00, 22.9, undefined
11/01/2020 09:00:00, 22.572, undefined
11/01/2020 10:00:00, 21.353, undefined
11/01/2020 11:00:00, 23.712, undefined
11/01/2020 12:00:00, 22.998, undefined
11/01/2020 13:00:00, 21.352, undefined
11/01/2020 14:00:00, 21.13, undefined
11/01/2020 15:00:00, 18.472, undefined
11/01/2020 16:00:00, 17.197, undefined
11/01/2020 17:00:00, 15.323, undefined
11/01/2020 18:00:00, 14.222, undefined
11/01/2020 19:00:00, 13.067, undefined
11/01/2020 20:00:00, 12.317, undefined
11/01/2020 21:00:00, 11.205, undefined
11/01/2020 22:00:00, 10.698, undefined
11/01/2020 23:00:00, 11.15, undefined
12/01/2020 00:00:00, 11, undefined
12/01/2020 01:00:00, 11.202, undefined
12/01/2020 02:00:00, 13.668, undefined
12/01/2020 03:00:00, 14.782, undefined
12/01/2020 04:00:00, 14.152, undefined
12/01/2020 05:00:00, 12.42, undefined
12/01/2020 06:00:00, 13.923, undefined
12/01/2020 07:00:00, 13.652, undefined
12/01/2020 08:00:00, 13.915, undefined
12/01/2020 09:00:00, 14.392, undefined
12/01/2020 10:00:00, 15.208, undefined
12/01/2020 11:00:00, 16.583, undefined
12/01/2020 12:00:00, 16.433, undefined
12/01/2020 13:00:00, 16.043, undefined
12/01/2020 14:00:00, 16.01, undefined
12/01/2020 15:00:00, 16.745, undefined
12/01/2020 16:00:00, 15.947, undefined
12/01/2020 17:00:00, 15.715, undefined
12/01/2020 18:00:00, 14.878, undefined
12/01/2020 19:00:00, 14.95, undefined
12/01/2020 20:00:00, 15.302, undefined
12/01/2020 21:00:00, 15.533, undefined
12/01/2020 22:00:00, 16.317, undefined
12/01/2020 23:00:00, 15.908, undefined
13/01/2020 00:00:00, 15.765, undefined
13/01/2020 01:00:00, 16.445, undefined
13/01/2020 02:00:00, 15.652, undefined
13/01/2020 03:00:00, 15.917, undefined
13/01/2020 04:00:00, 15.557, undefined
13/01/2020 05:00:00, 14.872, undefined
13/01/2020 06:00:00, 10.953, undefined
13/01/2020 07:00:00, 11.312, undefined
13/01/2020 08:00:00, 13.715, undefined
13/01/2020 09:00:00, 15.973, undefined
13/01/2020 10:00:00, 19.688, undefined
13/01/2020 11:00:00, 24.835, undefined
13/01/2020 12:00:00, 28.033, undefined
13/01/2020 13:00:00, 29.29, undefined
13/01/2020 14:00:00, 28.803, undefined
13/01/2020 15:00:00, 28.845, undefined
13/01/2020 16:00:00, 29.943, undefined
13/01/2020 17:00:00, 30.457, undefined
13/01/2020 18:00:00, 30.36, undefined
13/01/2020 19:00:00, 28.317, undefined
13/01/2020 20:00:00, 26.733, undefined
13/01/2020 21:00:00, 27.247, undefined
13/01/2020 22:00:00, 25.598, undefined
13/01/2020 23:00:00, 24.683, undefined
14/01/2020 00:00:00, 25.655, undefined
14/01/2020 01:00:00, 22.69, undefined
14/01/2020 02:00:00, 18.607, undefined
14/01/2020 03:00:00, 19.747, undefined
14/01/2020 04:00:00, 18.793, undefined
14/01/2020 05:00:00, 18.355, undefined
14/01/2020 06:00:00, 16.972, undefined
14/01/2020 07:00:00, 16.332, undefined
14/01/2020 08:00:00, 17.612, undefined
14/01/2020 09:00:00, 17.4, undefined
14/01/2020 10:00:00, 18.69, undefined
14/01/2020 11:00:00, 17.635, undefined
14/01/2020 12:00:00, 19.113, undefined
14/01/2020 13:00:00, 17.063, undefined
14/01/2020 14:00:00, 16.358, undefined
14/01/2020 15:00:00, 14.84, undefined
