Date (NZST), Air Quality PM2.5 (Daily Average) (ug/m3), Data quality code
01/01/2018 00:00:00, 4.861, undefined
02/01/2018 00:00:00, 8.48, undefined
03/01/2018 00:00:00, 4.943, undefined
04/01/2018 00:00:00, 5.287, undefined
05/01/2018 00:00:00, 4.778, undefined
06/01/2018 00:00:00, 4.225, undefined
07/01/2018 00:00:00, 12.292, undefined
08/01/2018 00:00:00, 4.702, undefined
09/01/2018 00:00:00, 9.73, undefined
10/01/2018 00:00:00, 4.951, undefined
11/01/2018 00:00:00, 6.651, undefined
12/01/2018 00:00:00, 5.331, undefined
13/01/2018 00:00:00, 2.13, undefined
14/01/2018 00:00:00, 6.222, undefined
15/01/2018 00:00:00, 8.269, undefined
16/01/2018 00:00:00, 6.962, undefined
17/01/2018 00:00:00, 5.379, undefined
18/01/2018 00:00:00, 0, undefined
19/01/2018 00:00:00, 0, undefined
20/01/2018 00:00:00, 0, undefined
21/01/2018 00:00:00, 0, undefined
22/01/2018 00:00:00, 0, undefined
23/01/2018 00:00:00, 0, undefined
24/01/2018 00:00:00, 0, undefined
25/01/2018 00:00:00, 0, undefined
26/01/2018 00:00:00, 0, undefined
27/01/2018 00:00:00, 0, undefined
28/01/2018 00:00:00, 0, undefined
29/01/2018 00:00:00, 0, undefined
30/01/2018 00:00:00, 0, undefined
31/01/2018 00:00:00, 0, undefined
01/02/2018 00:00:00, 0, undefined
02/02/2018 00:00:00, 0, undefined
03/02/2018 00:00:00, 0, undefined
04/02/2018 00:00:00, 0, undefined
05/02/2018 00:00:00, 0, undefined
06/02/2018 00:00:00, 0, undefined
07/02/2018 00:00:00, 0, undefined
08/02/2018 00:00:00, 0, undefined
09/02/2018 00:00:00, 2.991, undefined
10/02/2018 00:00:00, 2.836, undefined
11/02/2018 00:00:00, 3.375, undefined
12/02/2018 00:00:00, 11.741, undefined
13/02/2018 00:00:00, 4.43, undefined
14/02/2018 00:00:00, 3.424, undefined
15/02/2018 00:00:00, 8.611, undefined
16/02/2018 00:00:00, 8.081, undefined
17/02/2018 00:00:00, 10.843, undefined
18/02/2018 00:00:00, 9.622, undefined
19/02/2018 00:00:00, 11.422, undefined
20/02/2018 00:00:00, 7.144, undefined
21/02/2018 00:00:00, 11.983, undefined
22/02/2018 00:00:00, 9.744, undefined
23/02/2018 00:00:00, 4.596, undefined
24/02/2018 00:00:00, 4.59, undefined
25/02/2018 00:00:00, 6.318, undefined
