Date (NZST), Air Quality PM2.5 (Hourly Average) (ug/m3), Data quality code
01/01/2020 00:00:00, 7.064, undefined
01/01/2020 01:00:00, 5.992, undefined
01/01/2020 02:00:00, 5.857, undefined
01/01/2020 03:00:00, 5.619, undefined
01/01/2020 04:00:00, 4.245, undefined
01/01/2020 05:00:00, 4.721, undefined
01/01/2020 06:00:00, 4.711, undefined
01/01/2020 07:00:00, 5.137, undefined
01/01/2020 08:00:00, 4.958, undefined
01/01/2020 09:00:00, 5.008, undefined
01/01/2020 10:00:00, 7.19, undefined
01/01/2020 11:00:00, 9.205, undefined
01/01/2020 12:00:00, 9.832, undefined
01/01/2020 13:00:00, 9.117, undefined
01/01/2020 14:00:00, 7.871, undefined
01/01/2020 15:00:00, 7.114, undefined
01/01/2020 16:00:00, 7.751, undefined
01/01/2020 17:00:00, 8.162, undefined
01/01/2020 18:00:00, 8.91, undefined
01/01/2020 19:00:00, 8.542, undefined
01/01/2020 20:00:00, 7.758, undefined
01/01/2020 21:00:00, 8.365, undefined
01/01/2020 22:00:00, 7.845, undefined
01/01/2020 23:00:00, 6.481, undefined
02/01/2020 00:00:00, 6.027, undefined
02/01/2020 01:00:00, 4.501, undefined
02/01/2020 02:00:00, 5.222, undefined
02/01/2020 03:00:00, 4.322, undefined
02/01/2020 04:00:00, 3.888, undefined
02/01/2020 05:00:00, 4.061, undefined
02/01/2020 06:00:00, 3.147, undefined
02/01/2020 07:00:00, 4.243, undefined
02/01/2020 08:00:00, 3.923, undefined
02/01/2020 09:00:00, 4.953, undefined
02/01/2020 10:00:00, 6.345, undefined
02/01/2020 11:00:00, 6.705, undefined
02/01/2020 12:00:00, 6.885, undefined
02/01/2020 13:00:00, 6.395, undefined
02/01/2020 14:00:00, 6.115, undefined
02/01/2020 15:00:00, 6.014, undefined
02/01/2020 16:00:00, 6.903, undefined
02/01/2020 17:00:00, 5.069, undefined
02/01/2020 18:00:00, 1.869, undefined
02/01/2020 19:00:00, 1.334, undefined
02/01/2020 20:00:00, 3.145, undefined
02/01/2020 21:00:00, 3.746, undefined
02/01/2020 22:00:00, 4.679, undefined
02/01/2020 23:00:00, 5.824, undefined
03/01/2020 00:00:00, 6.846, undefined
03/01/2020 01:00:00, 9.471, undefined
03/01/2020 02:00:00, 15.068, undefined
03/01/2020 03:00:00, 22.107, undefined
03/01/2020 04:00:00, 24.648, undefined
03/01/2020 05:00:00, 22, undefined
03/01/2020 06:00:00, 21.045, undefined
03/01/2020 07:00:00, 19.442, undefined
03/01/2020 08:00:00, 19.388, undefined
03/01/2020 09:00:00, 18.342, undefined
03/01/2020 10:00:00, 16.422, undefined
03/01/2020 11:00:00, 16.74, undefined
03/01/2020 12:00:00, 17.318, undefined
03/01/2020 13:00:00, 16.678, undefined
03/01/2020 14:00:00, 15.898, undefined
03/01/2020 15:00:00, 15.892, undefined
03/01/2020 16:00:00, 16.355, undefined
03/01/2020 17:00:00, 16.365, undefined
03/01/2020 18:00:00, 16.34, undefined
03/01/2020 19:00:00, 15.2, undefined
03/01/2020 20:00:00, 12.423, undefined
03/01/2020 21:00:00, 9.895, undefined
03/01/2020 22:00:00, 9.473, undefined
03/01/2020 23:00:00, 8.498, undefined
04/01/2020 00:00:00, 7.213, undefined
04/01/2020 01:00:00, 7.348, undefined
04/01/2020 02:00:00, 8.397, undefined
