Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, Motat Ews,41351,A6487G,-36.86297,174.71185,16,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Combined Daily Data at 9am local ("Form 301" Extended)
(Note the max temperature, rainfall and radiation have been put back a day as is standard for a Form 301.
Also note that non standard row charges apply. For details search the help on "f301").
Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2)
41351,20180101,345,1.9,46,7.7,169,6.2,21.0,17.7,71.0,25.0,17.8,-,-,-,-,-,-,1010.4,1008.5,1.7,11.97
41351,20180102,49,2.2,9,8.2,277,0.0,21.0,19.7,88.0,27.1,16.5,-,-,-,-,-,-,1012.3,1010.4,12.4,31.39
41351,20180103,100,2.8,51,9.8,298,0.4,22.2,19.1,73.0,26.8,17.3,-,-,-,-,-,-,1011.4,1009.5,9.3,23.44
41351,20180104,52,3.8,67,18.5,614,43.2,21.4,20.4,91.0,22.0,20.8,-,-,-,-,-,-,1008.6,1006.7,0.0,4.93
41351,20180105,16,9.5,56,20.6,511,14.2,19.0,18.1,91.0,21.8,18.8,-,-,-,-,-,-,985.0,983.2,0.2,9.25
41351,20180106,246,3.7,283,11.3,244,0.0,18.8,17.5,87.0,22.6,18.0,-,-,-,-,-,-,1004.0,1002.1,1.1,12.14
41351,20180107,248,2.5,232,10.3,281,0.0,20.5,17.4,72.0,23.8,17.5,-,-,-,-,-,-,1012.2,1010.3,10.0,25.62
41351,20180108,229,3.2,172,9.3,239,0.0,20.2,16.5,67.0,24.4,15.2,-,-,-,-,-,-,1016.3,1014.4,13.4,31.99
41351,20180109,308,1.2,256,11.3,182,0.0,20.2,17.8,78.0,27.4,13.3,-,-,-,-,-,-,1020.0,1018.1,13.5,28.63
41351,20180110,267,1.2,298,9.3,200,0.0,20.8,17.9,74.0,26.5,15.7,-,-,-,-,-,-,1018.0,1016.1,11.7,27.52
41351,20180111,268,1.9,297,7.2,171,0.0,21.6,19.0,77.0,26.6,16.3,-,-,-,-,-,-,1017.7,1015.8,12.4,28.67
41351,20180112,302,1.3,24,8.2,243,0.0,21.1,19.5,85.0,29.1,16.8,-,-,-,-,-,-,1016.4,1014.5,9.8,24.13
41351,20180113,57,3.4,46,9.3,324,0.0,22.4,19.9,78.0,26.3,20.4,-,-,-,-,-,-,1017.6,1015.7,9.5,24.49
41351,20180114,38,3.6,43,9.8,337,0.4,21.0,19.2,84.0,26.8,19.9,-,-,-,-,-,-,1016.0,1014.1,9.7,24.22
41351,20180115,63,4.1,52,11.3,452,0.0,22.4,19.7,77.0,26.8,20.0,-,-,-,-,-,-,1016.9,1015.0,7.4,22.32
41351,20180116,51,5.4,50,15.4,585,0.0,21.3,18.5,75.0,25.7,20.0,-,-,-,-,-,-,1016.8,1014.9,5.5,20.43
41351,20180117,44,6.8,49,16.0,586,11.2,21.7,18.6,73.0,24.8,19.4,-,-,-,-,-,-,1016.1,1014.2,2.6,14.22
41351,20180118,34,6.2,63,14.9,468,21.6,20.1,19.6,95.0,21.2,19.4,-,-,-,-,-,-,1013.8,1011.9,0.0,4.43
41351,20180119,20,4.6,51,12.9,345,0.2,21.0,20.1,92.0,26.3,19.0,-,-,-,-,-,-,1014.3,1012.4,8.2,22.78
41351,20180120,39,3.3,37,8.2,230,0.0,22.8,20.6,81.0,26.7,20.2,-,-,-,-,-,-,1018.5,1016.6,11.4,26.94
41351,20180121,40,2.6,13,9.3,284,11.4,22.8,21.3,87.0,27.1,20.0,-,-,-,-,-,-,1018.7,1016.8,8.2,23.80
41351,20180122,2,2.9,2,6.7,159,4.4,19.0,18.5,95.0,25.3,18.8,-,-,-,-,-,-,1016.4,1014.5,1.6,11.15
41351,20180123,59,1.7,212,7.7,184,8.0,22.3,21.2,90.0,27.4,18.6,-,-,-,-,-,-,1015.4,1013.5,8.8,21.30
41351,20180124,197,2.0,189,10.8,251,0.0,22.2,20.4,84.0,27.0,17.7,-,-,-,-,-,-,1015.8,1013.9,12.6,29.85
41351,20180125,224,1.8,208,8.2,223,0.0,22.1,20.5,86.0,27.0,18.1,-,-,-,-,-,-,1017.1,1015.2,7.3,21.27
41351,20180126,281,1.2,13,5.7,125,0.0,22.1,20.2,83.0,28.4,20.7,-,-,-,-,-,-,1015.7,1013.8,4.7,16.42
41351,20180127,125,1.2,3,6.2,139,1.2,24.2,22.2,83.0,28.0,17.6,-,-,-,-,-,-,1016.8,1014.9,6.9,16.15
41351,20180128,143,1.7,61,8.8,265,0.0,23.2,21.2,83.0,28.8,17.9,-,-,-,-,-,-,1016.3,1014.4,13.2,30.03
41351,20180129,117,1.8,23,10.3,267,0.0,23.5,20.8,77.0,28.1,19.6,-,-,-,-,-,-,1019.3,1017.4,11.7,27.10
41351,20180130,44,2.9,22,10.3,374,0.0,22.9,20.3,78.0,27.3,18.9,-,-,-,-,-,-,1020.1,1018.2,10.9,28.21
41351,20180131,51,5.4,38,13.9,574,0.4,23.5,20.0,71.0,26.8,20.0,-,-,-,-,-,-,1014.6,1012.7,8.7,23.25
41351,20180201,26,7.6,20,15.4,330,31.8,22.4,20.7,85.0,22.6,21.2,-,-,-,-,-,-,1002.0,1000.1,0.0,2.64
41351,20180202,240,2.6,236,12.4,268,0.4,20.7,18.3,78.0,24.0,16.0,-,-,-,-,-,-,998.6,996.7,11.1,23.51
41351,20180203,6,2.0,59,15.4,299,23.2,17.4,16.3,89.0,22.9,13.7,-,-,-,-,-,-,1003.0,1001.1,2.8,12.55
41351,20180204,150,2.1,68,8.8,218,23.0,16.2,15.1,88.0,23.2,14.6,-,-,-,-,-,-,1013.8,1011.9,3.6,14.78
41351,20180205,139,1.6,220,6.7,149,7.6,20.5,19.4,90.0,25.8,15.8,-,-,-,-,-,-,1010.5,1008.6,7.9,17.68
41351,20180206,272,1.1,204,11.8,298,0.0,18.8,18.1,93.0,24.3,12.4,-,-,-,-,-,-,1009.9,1008.0,10.0,22.47
41351,20180207,164,2.8,71,12.4,389,0.6,19.9,16.6,70.0,25.5,15.1,-,-,-,-,-,-,1016.1,1014.2,9.3,21.46
41351,20180208,137,3.4,86,11.8,326,11.2,17.7,14.7,71.0,22.8,14.7,-,-,-,-,-,-,1020.3,1018.4,4.5,13.62
41351,20180209,167,3.8,92,11.3,207,8.2,15.9,15.5,96.0,21.4,15.0,-,-,-,-,-,-,1013.4,1011.5,0.4,7.78
41351,20180210,110,2.0,88,9.8,387,17.6,21.4,21.2,98.0,22.7,15.9,-,-,-,-,-,-,1008.4,1006.5,0.0,4.26
41351,20180211,50,4.3,19,12.9,260,33.8,22.6,22.3,97.0,23.2,21.2,-,-,-,-,-,-,1005.2,1003.3,0.0,4.45
41351,20180212,42,2.1,45,9.3,277,15.2,22.7,22.5,98.0,27.6,19.5,-,-,-,-,-,-,1009.2,1007.3,10.7,25.10
41351,20180213,28,2.8,44,9.8,212,12.0,22.2,22.0,98.0,23.9,22.1,-,-,-,-,-,-,1012.6,1010.7,0.3,4.94
41351,20180214,30,2.3,49,7.7,194,8.6,22.4,21.4,91.0,26.6,21.0,-,-,-,-,-,-,1012.5,1010.6,2.6,11.59
41351,20180215,192,2.8,183,8.2,199,0.0,21.1,18.8,79.0,26.6,18.4,-,-,-,-,-,-,1014.3,1012.4,12.8,27.90
