Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch, Kyle St Ews,24120,H3256F,-43.53074,172.60769,6,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Combined Daily Data at 9am local ("Form 301" Extended)
(Note the max temperature, rainfall and radiation have been put back a day as is standard for a Form 301.
Also note that non standard row charges apply. For details search the help on "f301").
Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2)
24120,20180101,226,2.4,71,9.8,270,0.0,16.0,12.7,66.0,22.8,12.6,-,-,-,-,-,-,1012.0,1011.3,-,25.10
24120,20180102,41,1.7,65,8.2,193,0.0,17.1,15.0,79.0,25.8,14.7,-,-,-,-,-,-,1011.4,1010.7,-,23.42
24120,20180103,223,1.4,49,11.3,271,0.0,19.2,17.5,84.0,26.0,15.9,-,-,-,-,-,-,1012.3,1011.6,-,19.56
24120,20180104,202,1.8,65,8.2,231,24.6,20.0,17.4,76.0,26.7,16.5,-,-,-,-,-,-,1010.0,1009.3,-,18.49
24120,20180105,75,4.1,219,16.0,459,21.4,16.0,15.4,94.0,19.0,14.8,-,-,-,-,-,-,999.8,999.1,-,5.03
24120,20180106,203,7.1,182,16.5,399,0.0,16.1,11.4,53.0,19.4,12.6,-,-,-,-,-,-,1007.2,1006.5,-,27.17
24120,20180107,211,2.8,104,7.2,199,0.2,14.9,11.3,62.0,24.5,8.3,-,-,-,-,-,-,1011.4,1010.7,-,28.12
24120,20180108,240,4.8,25,10.3,347,0.0,19.2,15.8,68.0,24.3,13.1,-,-,-,-,-,-,1015.0,1014.3,-,29.10
24120,20180109,56,2.4,72,9.8,241,3.0,19.1,16.7,77.0,26.9,15.3,-,-,-,-,-,-,1012.6,1011.9,-,13.37
24120,20180110,220,3.9,219,8.8,166,32.4,15.5,14.9,93.0,18.2,14.3,-,-,-,-,-,-,1015.3,1014.6,-,4.90
24120,20180111,133,1.1,98,5.7,162,25.4,12.5,11.8,92.0,16.0,10.6,-,-,-,-,-,-,1019.1,1018.4,-,5.63
24120,20180112,77,2.0,73,7.7,265,1.8,13.0,12.1,89.0,16.2,10.8,-,-,-,-,-,-,1022.3,1021.6,-,7.29
24120,20180113,53,3.2,53,8.8,251,0.0,14.6,13.9,92.0,22.0,12.1,-,-,-,-,-,-,1017.8,1017.1,-,14.43
24120,20180114,48,1.6,71,10.3,339,0.0,21.0,18.2,75.0,29.8,13.8,-,-,-,-,-,-,1013.8,1013.1,-,31.26
24120,20180115,71,4.3,75,11.3,369,0.0,19.6,17.6,81.0,24.4,16.5,-,-,-,-,-,-,1016.0,1015.3,-,28.53
24120,20180116,75,3.9,136,9.8,292,0.0,20.0,17.7,79.0,25.3,16.8,-,-,-,-,-,-,1014.3,1013.6,-,29.87
24120,20180117,71,2.6,57,9.3,252,0.2,21.9,17.9,66.0,25.5,17.5,-,-,-,-,-,-,1011.1,1010.4,-,15.02
24120,20180118,26,1.9,244,8.8,243,0.0,24.2,18.7,57.0,30.5,16.4,-,-,-,-,-,-,1007.9,1007.2,-,27.19
24120,20180119,245,1.0,69,9.3,276,0.0,19.7,16.9,74.0,24.5,16.3,-,-,-,-,-,-,1015.4,1014.7,-,23.73
24120,20180120,32,1.1,62,8.8,199,0.0,21.7,18.6,73.0,32.4,15.7,-,-,-,-,-,-,1011.4,1010.7,-,29.86
24120,20180121,277,1.4,88,6.7,180,0.0,20.0,17.2,74.0,24.1,16.4,-,-,-,-,-,-,1017.7,1017.0,-,17.46
24120,20180122,50,1.0,60,7.2,183,0.0,19.7,17.3,78.0,28.3,17.1,-,-,-,-,-,-,1012.5,1011.8,-,22.69
24120,20180123,38,2.2,49,9.8,249,0.0,19.8,17.1,75.0,24.7,17.5,-,-,-,-,-,-,1013.6,1012.9,-,27.11
24120,20180124,288,0.8,254,8.8,239,0.0,23.1,18.9,65.0,32.3,15.6,-,-,-,-,-,-,1010.4,1009.7,-,28.33
24120,20180125,35,1.2,209,11.3,253,0.0,22.2,19.3,75.0,29.7,15.6,-,-,-,-,-,-,1012.8,1012.1,-,25.15
24120,20180126,238,1.0,229,8.8,265,0.0,19.0,16.0,72.0,24.0,16.6,-,-,-,-,-,-,1021.5,1020.8,-,17.71
24120,20180127,39,3.3,52,9.8,216,0.0,19.7,16.2,68.0,24.7,16.6,-,-,-,-,-,-,1019.9,1019.2,-,24.87
24120,20180128,221,1.3,60,7.7,230,0.0,19.8,18.2,85.0,28.3,17.7,-,-,-,-,-,-,1020.4,1019.7,-,24.24
24120,20180129,58,4.0,81,11.8,329,0.0,19.4,16.5,73.0,24.0,17.6,-,-,-,-,-,-,1021.3,1020.6,-,17.78
24120,20180130,47,1.8,226,8.8,229,0.0,21.5,18.3,72.0,29.8,18.4,-,-,-,-,-,-,1015.1,1014.4,-,28.75
24120,20180131,40,1.2,323,10.3,283,0.0,22.4,18.2,65.0,31.5,14.8,-,-,-,-,-,-,1007.4,1006.7,-,16.42
24120,20180201,41,4.3,349,19.0,506,24.8,20.8,18.1,76.0,34.9,19.9,-,-,-,-,-,-,984.0,983.3,-,22.28
24120,20180202,244,5.1,219,11.8,261,4.4,10.5,10.3,97.0,18.3,9.4,-,-,-,-,-,-,997.7,997.0,-,11.29
24120,20180203,230,3.1,255,9.3,205,0.0,12.9,10.8,76.0,19.2,9.6,-,-,-,-,-,-,1012.6,1011.9,-,17.91
24120,20180204,44,3.3,78,9.8,233,0.0,15.8,12.2,63.0,25.5,8.6,-,-,-,-,-,-,1012.3,1011.6,-,25.42
24120,20180205,28,1.7,287,13.4,291,0.0,16.2,12.0,58.0,28.1,13.2,-,-,-,-,-,-,1000.1,999.4,-,20.78
24120,20180206,198,3.5,229,11.8,186,0.0,12.1,9.1,65.0,18.4,9.9,-,-,-,-,-,-,1006.6,1005.9,-,14.10
24120,20180207,31,1.1,38,7.7,199,0.0,14.7,11.0,61.0,21.4,10.2,-,-,-,-,-,-,1022.6,1021.9,-,26.38
24120,20180208,28,2.0,54,11.8,382,0.0,16.7,13.1,64.0,21.7,9.7,-,-,-,-,-,-,1026.1,1025.4,-,28.19
24120,20180209,71,4.2,69,10.3,253,0.0,17.6,14.1,66.0,22.7,14.6,-,-,-,-,-,-,1017.9,1017.2,-,25.78
24120,20180210,228,1.4,82,7.7,207,10.6,16.8,14.1,73.0,24.0,14.0,-,-,-,-,-,-,1014.3,1013.6,-,17.94
24120,20180211,49,2.3,89,9.8,237,5.4,17.1,16.7,96.0,21.7,15.9,-,-,-,-,-,-,1007.0,1006.3,-,3.57
24120,20180212,348,0.7,83,8.8,170,0.0,20.7,20.2,95.0,28.8,14.9,-,-,-,-,-,-,1002.4,1001.7,-,27.14
24120,20180213,231,1.4,68,9.8,242,0.0,20.9,16.4,61.0,29.8,14.1,-,-,-,-,-,-,1008.5,1007.8,-,22.86
24120,20180214,235,4.0,180,10.3,241,0.0,18.3,15.9,77.0,23.0,15.2,-,-,-,-,-,-,1011.4,1010.7,-,10.95
24120,20180215,53,2.3,226,10.8,284,0.0,17.2,15.7,85.0,30.7,12.0,-,-,-,-,-,-,1009.9,1009.2,-,24.55
24120,20180216,35,1.1,325,13.9,342,0.0,16.1,14.7,85.0,31.6,12.9,-,-,-,-,-,-,1009.7,1009.0,-,20.81
24120,20180217,334,2.9,232,11.8,255,0.0,23.1,17.0,51.0,29.5,15.4,-,-,-,-,-,-,1004.0,1003.3,-,18.47
24120,20180218,64,3.1,318,8.2,175,0.0,19.0,16.0,72.0,28.5,15.6,-,-,-,-,-,-,1012.0,1011.3,-,23.30
24120,20180219,64,1.5,249,10.8,233,4.8,21.9,14.6,41.0,28.8,12.4,-,-,-,-,-,-,1007.0,1006.3,-,19.05
24120,20180220,118,1.2,79,8.2,237,55.6,12.7,11.7,88.0,14.8,11.8,-,-,-,-,-,-,1010.6,1009.9,-,1.51
24120,20180221,228,4.9,248,14.4,394,5.0,12.7,12.2,94.0,16.1,10.6,-,-,-,-,-,-,999.9,999.2,-,11.63
24120,20180222,243,2.5,180,10.3,175,0.0,11.7,9.7,76.0,19.6,7.0,-,-,-,-,-,-,1009.3,1008.6,-,21.40
24120,20180223,231,1.5,63,6.7,161,0.0,13.0,11.6,84.0,22.8,7.9,-,-,-,-,-,-,1012.4,1011.7,-,21.60
24120,20180224,8,0.7,65,10.8,252,0.0,15.4,14.1,86.0,21.5,11.9,-,-,-,-,-,-,1015.0,1014.3,-,17.16
24120,20180225,42,1.1,297,13.9,307,5.0,16.7,13.6,69.0,27.5,12.9,-,-,-,-,-,-,1003.4,1002.7,-,13.19
24120,20180226,278,1.6,207,12.9,210,3.2,12.9,12.2,92.0,18.9,10.9,-,-,-,-,-,-,1011.7,1011.0,-,15.73
24120,20180227,92,1.1,60,8.2,239,2.8,14.0,10.5,62.0,17.7,10.9,-,-,-,-,-,-,1023.0,1022.3,-,8.82
