Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Upper Hutt, Trentham Ews,40750,E1510M,-41.14027,175.04283,50,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Combined Daily Data at 9am local ("Form 301" Extended)
(Note the max temperature, rainfall and radiation have been put back a day as is standard for a Form 301.
Also note that non standard row charges apply. For details search the help on "f301").
Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2)
40750,20180101,259,3.7,263,9.8,249,0.0,16.2,14.6,83.0,23.0,15.4,12.0,-,18.6,18.6,-,16.8,1010.8,1004.9,9.7,26.87
40750,20180102,69,1.5,256,9.8,236,0.0,22.0,18.0,66.0,26.5,13.3,8.2,-,20.9,19.5,-,16.9,1011.8,1006.0,9.9,26.42
40750,20180103,214,1.2,74,10.3,147,0.2,22.1,18.6,70.0,27.0,16.8,14.5,-,22.5,21.2,-,17.0,1013.3,1007.5,7.3,19.90
40750,20180104,39,0.3,245,8.2,341,16.2,20.6,18.1,77.0,27.4,14.1,9.8,-,20.7,20.2,-,17.1,1009.8,1003.9,6.2,17.19
40750,20180105,89,3.4,216,20.1,638,48.8,21.1,17.3,67.0,24.5,17.4,16.5,-,19.6,19.8,-,17.3,991.1,985.4,3.4,13.45
40750,20180106,215,9.5,220,24.2,340,0.2,14.2,12.2,78.0,18.1,13.2,12.9,-,16.2,17.9,-,17.6,1002.8,996.9,5.2,19.32
40750,20180107,109,1.2,258,14.4,215,0.6,12.2,10.2,76.0,19.4,10.1,9.9,-,15.5,16.8,-,17.6,1013.3,1007.3,9.0,26.06
40750,20180108,64,1.2,4,10.3,297,0.0,18.8,15.4,68.0,26.4,11.8,6.7,-,17.8,18.0,-,17.5,1015.5,1009.6,13.6,31.14
40750,20180109,2,5.6,350,10.8,262,0.6,19.7,16.6,71.0,20.8,16.6,13.7,-,19.8,19.8,-,17.5,1016.3,1010.4,0.7,7.89
40750,20180110,343,3.5,317,9.8,229,2.2,19.5,17.7,83.0,20.0,18.2,18.3,-,19.7,19.6,-,17.6,1014.0,1008.1,0.0,3.80
40750,20180111,287,0.6,260,6.2,202,1.8,15.4,14.9,94.0,20.2,14.3,14.7,-,17.7,18.2,-,17.7,1016.4,1010.4,0.6,6.94
40750,20180112,250,1.2,72,9.3,236,0.0,18.1,15.6,76.0,21.3,14.6,15.0,-,18.6,18.3,-,17.7,1018.3,1012.3,9.7,26.78
40750,20180113,76,0.7,344,11.3,235,0.0,18.8,16.4,77.0,26.0,13.5,8.7,-,18.6,18.7,-,17.7,1017.4,1011.5,12.1,28.92
40750,20180114,133,0.4,280,8.8,156,0.0,19.7,17.1,76.0,27.5,12.4,7.4,-,19.2,19.4,-,17.7,1017.2,1011.3,10.4,26.73
